Tensao [V];Corrente [A]
-5;-9,378855E-10
-4,95;-9,029282E-10
-4,9;-8,735486E-10
-4,85;-8,515053E-10
-4,8;-8,327221E-10
-4,75;-8,168966E-10
-4,7;-8,001028E-10
-4,65;-7,872678E-10
-4,6;-7,735567E-10
-4,55;-7,57477E-10
-4,5;-7,478668E-10
-4,45;-7,354404E-10
-4,4;-7,233793E-10
-4,35;-7,118277E-10
-4,3;-6,99649E-10
-4,25;-6,858236E-10
-4,2;-6,755594E-10
-4,15;-6,61682E-10
-4,1;-6,514884E-10
-4,05;-6,412221E-10
-4;-6,301419E-10
-3,95;-6,196967E-10
-3,9;-6,064714E-10
-3,85;-5,961682E-10
-3,8;-5,851946E-10
-3,75;-5,755859E-10
-3,7;-5,640582E-10
-3,65;-5,539137E-10
-3,6;-5,423387E-10
-3,55;-5,318738E-10
-3,5;-5,181987E-10
-3,45;-5,072558E-10
-3,4;-4,958771E-10
-3,35;-4,869272E-10
-3,3;-4,721455E-10
-3,25;-4,60226E-10
-3,2;-4,462823E-10
-3,15;-4,318353E-10
-3,1;-4,172002E-10
-3,05;-4,042995E-10
-3;-3,898692E-10
-2,95;-3,738418E-10
-2,9;-3,54201E-10
-2,85;-3,361504E-10
-2,8;-3,175098E-10
-2,75;-2,950369E-10
-2,7;-2,701266E-10
-2,65;-2,468833E-10
-2,6;-2,202004E-10
-2,55;-1,952667E-10
-2,5;-1,663957E-10
-2,45;-1,361581E-10
-2,4;-1,100936E-10
-2,35;-8,348815E-11
-2,3;-5,235626E-11
-2,25;-2,474424E-11
-2,2;2,371325E-12
-2,15;3,210576E-11
-2,1;6,092474E-11
-2,05;9,142422E-11
-2;1,186551E-10
-1,95;1,481925E-10
-1,9;1,808984E-10
-1,85;2,125982E-10
-1,8;2,470355E-10
-1,75;2,769113E-10
-1,7;3,139654E-10
-1,65;3,494572E-10
-1,6;3,854162E-10
-1,55;4,24747E-10
-1,5;4,663719E-10
-1,45;5,110392E-10
-1,4;5,531766E-10
-1,35;6,004563E-10
-1,3;6,562086E-10
-1,25;7,17009E-10
-1,2;7,837349E-10
-1,15;8,616973E-10
-1,1;9,555545E-10
-1,05;1,067912E-09
-1;1,204495E-09
-0,95;1,376539E-09
-0,9;1,608496E-09
-0,85;1,938679E-09
-0,8;2,62754E-09
-0,75;3,193828E-09
-0,7;4,382804E-09
-0,65;6,298028E-09
-0,6;9,330709E-09
-0,55;1,409696E-08
-0,5;2,535198E-08
-0,45;3,738189E-08
-0,4;5,295492E-08
-0,35;7,200455E-08
-0,3;9,419993E-08
-0,25;1,193518E-07
-0,2;1,474341E-07
-0,15;1,780975E-07
-0,1;2,104519E-07
-0,05;2,44018E-07
0;2,787743E-07
0,05;3,140294E-07
0,1;3,500568E-07
0,15;3,86822E-07
0,2;4,242711E-07
0,25;4,625111E-07
0,3;5,014758E-07
0,35;5,413357E-07
0,4;5,819351E-07
0,45;6,232984E-07
0,5;6,654E-07
0,55;7,081987E-07
0,6;7,515578E-07
0,65;7,95477E-07
0,7;8,401125E-07
0,75;8,850582E-07
0,8;9,303478E-07
0,85;9,760972E-07
0,9;1,022163E-06
0,95;1,068377E-06
1;1,114663E-06
1,05;1,1608E-06
1,1;1,206613E-06
1,15;1,251952E-06
1,2;1,29652E-06
1,25;1,34051E-06
1,3;1,383742E-06
1,35;1,426236E-06
1,4;1,468013E-06
1,45;1,50878E-06
1,5;1,548432E-06
1,55;1,587205E-06
1,6;1,624896E-06
1,65;1,661832E-06
1,7;1,69791E-06
1,75;1,733314E-06
1,8;1,767949E-06
1,85;1,801802E-06
1,9;1,834939E-06
1,95;1,867358E-06
2;1,899199E-06
2,05;1,930246E-06
2,1;1,960927E-06
2,15;1,9907E-06
2,2;2,019986E-06
2,25;2,048583E-06
2,3;2,07657E-06
2,35;2,104455E-06
2,4;2,131306E-06
2,45;2,157819E-06
2,5;2,183682E-06
2,55;2,208815E-06
2,6;2,23326E-06
2,65;2,257279E-06
2,7;2,280809E-06
2,75;2,303388E-06
2,8;2,325628E-06
2,85;2,347366E-06
2,9;2,368129E-06
2,95;2,388525E-06
3;2,408148E-06
3,05;2,427216E-06
3,1;2,445861E-06
3,15;2,463992E-06
3,2;2,481909E-06
3,25;2,499188E-06
3,3;2,516278E-06
3,35;2,532918E-06
3,4;2,54948E-06
3,45;2,565795E-06
3,5;2,582072E-06
3,55;2,598135E-06
3,6;2,613972E-06
3,65;2,629897E-06
3,7;2,645634E-06
3,75;2,661421E-06
3,8;2,677197E-06
3,85;2,693085E-06
3,9;2,708772E-06
3,95;2,724132E-06
4;2,740095E-06
4,05;2,755295E-06
4,1;2,771369E-06
4,15;2,786141E-06
4,2;2,801729E-06
4,25;2,816764E-06
4,3;2,831801E-06
4,35;2,846773E-06
4,4;2,861558E-06
4,45;2,876253E-06
4,5;2,890664E-06
4,55;2,904834E-06
4,6;2,919115E-06
4,65;2,933214E-06
4,7;2,946933E-06
4,75;2,960165E-06
4,8;2,973596E-06
4,85;2,986702E-06
4,9;2,999644E-06
4,95;3,012452E-06
5;3,024931E-06
