Tensao [V];Corrente [A]
-5;-9,718899E-10
-4,95;-9,297318E-10
-4,9;-8,891087E-10
-4,85;-8,65407E-10
-4,8;-8,496769E-10
-4,75;-8,407853E-10
-4,7;-8,234705E-10
-4,65;-8,087357E-10
-4,6;-7,928453E-10
-4,55;-7,863706E-10
-4,5;-7,810499E-10
-4,45;-7,701738E-10
-4,4;-7,616525E-10
-4,35;-7,486954E-10
-4,3;-7,361855E-10
-4,25;-7,243512E-10
-4,2;-7,129219E-10
-4,15;-6,984231E-10
-4,1;-6,848109E-10
-4,05;-6,676423E-10
-4;-6,548629E-10
-3,95;-6,441223E-10
-3,9;-6,336978E-10
-3,85;-6,226774E-10
-3,8;-6,096847E-10
-3,75;-6,01976E-10
-3,7;-5,916922E-10
-3,65;-5,811932E-10
-3,6;-5,636101E-10
-3,55;-5,510766E-10
-3,5;-5,423207E-10
-3,45;-5,271864E-10
-3,4;-5,163916E-10
-3,35;-5,144067E-10
-3,3;-5,075136E-10
-3,25;-4,95292E-10
-3,2;-4,820245E-10
-3,15;-4,662227E-10
-3,1;-4,506993E-10
-3,05;-4,376992E-10
-3;-4,248872E-10
-2,95;-4,067003E-10
-2,9;-3,777664E-10
-2,85;-3,512497E-10
-2,8;-3,292508E-10
-2,75;-3,033685E-10
-2,7;-2,775861E-10
-2,65;-2,56993E-10
-2,6;-2,338285E-10
-2,55;-2,089542E-10
-2,5;-1,802778E-10
-2,45;-1,491077E-10
-2,4;-1,189097E-10
-2,35;-8,549496E-11
-2,3;-5,292538E-11
-2,25;-2,399637E-11
-2,2;5,440368E-12
-2,15;3,788528E-11
-2,1;6,891328E-11
-2,05;1,012473E-10
-2;1,375671E-10
-1,95;1,712686E-10
-1,9;2,092897E-10
-1,85;2,355732E-10
-1,8;2,642985E-10
-1,75;2,991384E-10
-1,7;3,402138E-10
-1,65;3,797813E-10
-1,6;4,220492E-10
-1,55;4,676635E-10
-1,5;5,18975E-10
-1,45;5,72105E-10
-1,4;6,334103E-10
-1,35;6,994083E-10
-1,3;7,642877E-10
-1,25;8,347623E-10
-1,2;9,132478E-10
-1,15;1,006229E-09
-1,1;1,114761E-09
-1,05;1,245368E-09
-1;1,409341E-09
-0,95;1,619929E-09
-0,9;1,90715E-09
-0,85;2,524191E-09
-0,8;2,925769E-09
-0,75;3,861152E-09
-0,7;5,354702E-09
-0,65;7,711273E-09
-0,6;1,144684E-08
-0,55;1,727618E-08
-0,5;3,07279E-08
-0,45;4,518033E-08
-0,4;6,385056E-08
-0,35;8,648332E-08
-0,3;1,1262E-07
-0,25;1,420401E-07
-0,2;1,74788E-07
-0,15;2,102835E-07
-0,1;2,47678E-07
-0,05;2,863157E-07
0;3,26246E-07
0,05;3,667129E-07
0,1;4,080554E-07
0,15;4,502883E-07
0,2;4,934186E-07
0,25;5,374808E-07
0,3;5,825345E-07
0,35;6,2861E-07
0,4;6,757759E-07
0,45;7,240138E-07
0,5;7,730812E-07
0,55;8,231253E-07
0,6;8,741117E-07
0,65;9,260505E-07
0,7;9,789441E-07
0,75;1,032383E-06
0,8;1,086499E-06
0,85;1,141399E-06
0,9;1,196503E-06
0,95;1,25195E-06
1;1,307588E-06
1,05;1,363162E-06
1,1;1,418411E-06
1,15;1,473092E-06
1,2;1,527371E-06
1,25;1,581024E-06
1,3;1,633625E-06
1,35;1,68535E-06
1,4;1,736492E-06
1,45;1,78651E-06
1,5;1,835433E-06
1,55;1,882956E-06
1,6;1,929606E-06
1,65;1,975312E-06
1,7;2,019885E-06
1,75;2,063425E-06
1,8;2,106681E-06
1,85;2,148641E-06
1,9;2,190078E-06
1,95;2,230235E-06
2;2,269567E-06
2,05;2,308032E-06
2,1;2,346184E-06
2,15;2,383073E-06
2,2;2,419446E-06
2,25;2,454842E-06
2,3;2,490077E-06
2,35;2,52413E-06
2,4;2,557633E-06
2,45;2,590311E-06
2,5;2,62225E-06
2,55;2,653774E-06
2,6;2,684182E-06
2,65;2,714115E-06
2,7;2,743523E-06
2,75;2,772318E-06
2,8;2,799933E-06
2,85;2,826644E-06
2,9;2,852782E-06
2,95;2,877628E-06
3;2,902174E-06
3,05;2,925892E-06
3,1;2,94921E-06
3,15;2,9718E-06
3,2;2,99349E-06
3,25;3,014626E-06
3,3;3,035789E-06
3,35;3,056337E-06
3,4;3,077189E-06
3,45;3,096998E-06
3,5;3,116769E-06
3,55;3,13644E-06
3,6;3,155898E-06
3,65;3,175256E-06
3,7;3,194487E-06
3,75;3,213948E-06
3,8;3,233054E-06
3,85;3,252112E-06
3,9;3,271219E-06
3,95;3,289849E-06
4;3,309172E-06
4,05;3,327691E-06
4,1;3,346371E-06
4,15;3,365076E-06
4,2;3,383773E-06
4,25;3,402039E-06
4,3;3,420109E-06
4,35;3,438377E-06
4,4;3,456256E-06
4,45;3,473871E-06
4,5;3,491276E-06
4,55;3,508692E-06
4,6;3,525969E-06
4,65;3,543008E-06
4,7;3,559738E-06
4,75;3,57619E-06
4,8;3,592293E-06
4,85;3,608342E-06
4,9;3,623926E-06
4,95;3,639526E-06
5;3,655051E-06
