Tensao [V];Corrente [A]
-5;-9,589435E-10
-4,95;-9,226994E-10
-4,9;-8,982868E-10
-4,85;-8,761777E-10
-4,8;-8,513209E-10
-4,75;-8,348492E-10
-4,7;-8,231649E-10
-4,65;-8,098019E-10
-4,6;-7,930991E-10
-4,55;-7,823566E-10
-4,5;-7,711145E-10
-4,45;-7,59647E-10
-4,4;-7,438824E-10
-4,35;-7,303383E-10
-4,3;-7,200291E-10
-4,25;-7,0782E-10
-4,2;-6,955301E-10
-4,15;-6,836278E-10
-4,1;-6,739662E-10
-4,05;-6,662452E-10
-4;-6,512691E-10
-3,95;-6,392913E-10
-3,9;-6,302374E-10
-3,85;-6,191276E-10
-3,8;-6,054095E-10
-3,75;-5,931092E-10
-3,7;-5,845195E-10
-3,65;-5,752953E-10
-3,6;-5,621582E-10
-3,55;-5,493492E-10
-3,5;-5,374963E-10
-3,45;-5,292647E-10
-3,4;-5,126941E-10
-3,35;-5,00623E-10
-3,3;-4,892972E-10
-3,25;-4,778364E-10
-3,2;-4,657752E-10
-3,15;-4,499058E-10
-3,1;-4,396726E-10
-3,05;-4,253996E-10
-3;-4,083447E-10
-2,95;-3,911262E-10
-2,9;-3,730206E-10
-2,85;-3,550392E-10
-2,8;-3,344473E-10
-2,75;-3,113159E-10
-2,7;-2,912871E-10
-2,65;-2,665742E-10
-2,6;-2,418267E-10
-2,55;-2,110745E-10
-2,5;-1,824842E-10
-2,45;-1,509483E-10
-2,4;-1,191622E-10
-2,35;-8,552573E-11
-2,3;-5,564564E-11
-2,25;-2,585179E-11
-2,2;9,37185E-12
-2,15;4,416996E-11
-2,1;7,979103E-11
-2,05;1,103078E-10
-2;1,451465E-10
-1,95;1,773254E-10
-1,9;2,128344E-10
-1,85;2,488461E-10
-1,8;2,860798E-10
-1,75;3,24844E-10
-1,7;3,64092E-10
-1,65;4,0388E-10
-1,6;4,439895E-10
-1,55;4,897333E-10
-1,5;5,360299E-10
-1,45;5,842061E-10
-1,4;6,359658E-10
-1,35;6,943293E-10
-1,3;7,577454E-10
-1,25;8,271976E-10
-1,2;9,072131E-10
-1,15;1,002444E-09
-1,1;1,114686E-09
-1,05;1,245362E-09
-1;1,40632E-09
-0,95;1,617172E-09
-0,9;1,902364E-09
-0,85;2,402283E-09
-0,8;2,921146E-09
-0,75;3,861002E-09
-0,7;5,349531E-09
-0,65;7,720597E-09
-0,6;1,145142E-08
-0,55;1,725575E-08
-0,5;3,067574E-08
-0,45;4,5142E-08
-0,4;6,373084E-08
-0,35;8,642207E-08
-0,3;1,125417E-07
-0,25;1,419403E-07
-0,2;1,747166E-07
-0,15;2,101148E-07
-0,1;2,475408E-07
-0,05;2,861325E-07
0;3,260302E-07
0,05;3,664949E-07
0,1;4,07835E-07
0,15;4,501033E-07
0,2;4,932527E-07
0,25;5,373058E-07
0,3;5,823254E-07
0,35;6,283516E-07
0,4;6,755999E-07
0,45;7,23709E-07
0,5;7,727798E-07
0,55;8,228247E-07
0,6;8,738785E-07
0,65;9,25788E-07
0,7;9,787109E-07
0,75;1,03219E-06
0,8;1,086413E-06
0,85;1,141184E-06
0,9;1,19628E-06
0,95;1,251708E-06
1;1,307366E-06
1,05;1,362852E-06
1,1;1,418159E-06
1,15;1,472904E-06
1,2;1,526851E-06
1,25;1,580287E-06
1,3;1,632925E-06
1,35;1,684726E-06
1,4;1,73595E-06
1,45;1,786063E-06
1,5;1,834951E-06
1,55;1,882579E-06
1,6;1,929407E-06
1,65;1,974991E-06
1,7;2,019525E-06
1,75;2,063155E-06
1,8;2,106067E-06
1,85;2,148066E-06
1,9;2,18924E-06
1,95;2,229523E-06
2;2,268752E-06
2,05;2,307356E-06
2,1;2,345369E-06
2,15;2,382484E-06
2,2;2,418768E-06
2,25;2,454439E-06
2,3;2,48936E-06
2,35;2,523716E-06
2,4;2,557082E-06
2,45;2,589808E-06
2,5;2,622049E-06
2,55;2,653284E-06
2,6;2,683908E-06
2,65;2,713841E-06
2,7;2,742958E-06
2,75;2,771563E-06
2,8;2,799292E-06
2,85;2,826043E-06
2,9;2,852291E-06
2,95;2,877427E-06
3;2,901847E-06
3,05;2,925625E-06
3,1;2,948758E-06
3,15;2,97121E-06
3,2;2,993188E-06
3,25;3,014689E-06
3,3;3,035589E-06
3,35;3,056314E-06
3,4;3,076333E-06
3,45;3,096367E-06
3,5;3,116141E-06
3,55;3,135812E-06
3,6;3,155344E-06
3,65;3,174617E-06
3,7;3,194135E-06
3,75;3,213395E-06
3,8;3,232441E-06
3,85;3,251659E-06
3,9;3,270694E-06
3,95;3,28959E-06
4;3,308469E-06
4,05;3,327339E-06
4,1;3,346109E-06
4,15;3,364727E-06
4,2;3,383321E-06
4,25;3,401702E-06
4,3;3,419971E-06
4,35;3,438163E-06
4,4;3,455879E-06
4,45;3,473647E-06
4,5;3,491077E-06
4,55;3,508593E-06
4,6;3,525884E-06
4,65;3,542761E-06
4,7;3,559298E-06
4,75;3,575825E-06
4,8;3,592027E-06
4,85;3,607788E-06
4,9;3,623742E-06
4,95;3,639428E-06
5;3,654499E-06
