Tensao [V];Corrente [A]
-5;-1,02593E-09
-4,95;-9,883699E-10
-4,9;-9,636471E-10
-4,85;-9,41056E-10
-4,8;-9,214187E-10
-4,75;-9,048696E-10
-4,7;-8,881044E-10
-4,65;-8,75874E-10
-4,6;-8,591403E-10
-4,55;-8,480295E-10
-4,5;-8,347541E-10
-4,45;-8,217088E-10
-4,4;-8,080806E-10
-4,35;-7,957807E-10
-4,3;-7,838069E-10
-4,25;-7,716184E-10
-4,2;-7,584439E-10
-4,15;-7,493138E-10
-4,1;-7,369462E-10
-4,05;-7,24514E-10
-4;-7,11245E-10
-3,95;-7,006732E-10
-3,9;-6,877821E-10
-3,85;-6,767799E-10
-3,8;-6,660424E-10
-3,75;-6,543522E-10
-3,7;-6,449763E-10
-3,65;-6,30541E-10
-3,6;-6,183181E-10
-3,55;-6,089821E-10
-3,5;-5,965486E-10
-3,45;-5,805546E-10
-3,4;-5,718826E-10
-3,35;-5,567622E-10
-3,3;-5,471387E-10
-3,25;-5,318323E-10
-3,2;-5,187568E-10
-3,15;-5,05017E-10
-3,1;-4,94139E-10
-3,05;-4,798008E-10
-3;-4,678464E-10
-2,95;-4,52704E-10
-2,9;-4,351941E-10
-2,85;-4,156027E-10
-2,8;-3,96816E-10
-2,75;-3,760231E-10
-2,7;-3,556971E-10
-2,65;-3,325739E-10
-2,6;-3,047794E-10
-2,55;-2,782939E-10
-2,5;-2,503701E-10
-2,45;-2,185066E-10
-2,4;-1,849772E-10
-2,35;-1,509725E-10
-2,3;-1,167596E-10
-2,25;-7,665132E-11
-2,2;-3,724907E-11
-2,15;4,756565E-12
-2,1;4,16367E-11
-2,05;8,628127E-11
-2;1,288337E-10
-1,95;1,690997E-10
-1,9;2,099863E-10
-1,85;2,537539E-10
-1,8;2,986854E-10
-1,75;3,453318E-10
-1,7;3,905408E-10
-1,65;4,408872E-10
-1,6;4,929945E-10
-1,55;5,472203E-10
-1,5;6,000029E-10
-1,45;6,640443E-10
-1,4;7,292828E-10
-1,35;8,022229E-10
-1,3;8,774977E-10
-1,25;9,652843E-10
-1,2;1,070001E-09
-1,15;1,198174E-09
-1,1;1,341977E-09
-1,05;1,526115E-09
-1;1,753408E-09
-0,95;2,050997E-09
-0,9;2,630875E-09
-0,85;3,025164E-09
-0,8;3,873467E-09
-0,75;5,209891E-09
-0,7;7,296538E-09
-0,65;1,05727E-08
-0,6;1,566099E-08
-0,55;2,777577E-08
-0,5;4,178799E-08
-0,45;6,086094E-08
-0,4;8,523078E-08
-0,35;1,144178E-07
-0,3;1,475866E-07
-0,25;1,846216E-07
-0,2;2,25509E-07
-0,15;2,695397E-07
-0,1;3,15431E-07
-0,05;3,62675E-07
0;4,11492E-07
0,05;4,610385E-07
0,1;5,116576E-07
0,15;5,634008E-07
0,2;6,163347E-07
0,25;6,705503E-07
0,3;7,260862E-07
0,35;7,83039E-07
0,4;8,415298E-07
0,45;9,013326E-07
0,5;9,626565E-07
0,55;1,025369E-06
0,6;1,089562E-06
0,65;1,155209E-06
0,7;1,222511E-06
0,75;1,290974E-06
0,8;1,360574E-06
0,85;1,431486E-06
0,9;1,503131E-06
0,95;1,57545E-06
1;1,648237E-06
1,05;1,721228E-06
1,1;1,794024E-06
1,15;1,866373E-06
1,2;1,938253E-06
1,25;2,009315E-06
1,3;2,079408E-06
1,35;2,149013E-06
1,4;2,21814E-06
1,45;2,285622E-06
1,5;2,352618E-06
1,55;2,418323E-06
1,6;2,482926E-06
1,65;2,5462E-06
1,7;2,608233E-06
1,75;2,668827E-06
1,8;2,728292E-06
1,85;2,786906E-06
1,9;2,844253E-06
1,95;2,900535E-06
2;2,955829E-06
2,05;3,010007E-06
2,1;3,063395E-06
2,15;3,115932E-06
2,2;3,167015E-06
2,25;3,21756E-06
2,3;3,26685E-06
2,35;3,315314E-06
2,4;3,362615E-06
2,45;3,409488E-06
2,5;3,455258E-06
2,55;3,500136E-06
2,6;3,543739E-06
2,65;3,586354E-06
2,7;3,628049E-06
2,75;3,668774E-06
2,8;3,708215E-06
2,85;3,746757E-06
2,9;3,784018E-06
2,95;3,820295E-06
3;3,855077E-06
3,05;3,889104E-06
3,1;3,922221E-06
3,15;3,954496E-06
3,2;3,98563E-06
3,25;4,016116E-06
3,3;4,046175E-06
3,35;4,075544E-06
3,4;4,104375E-06
3,45;4,132678E-06
3,5;4,16063E-06
3,55;4,188387E-06
3,6;4,215915E-06
3,65;4,24319E-06
3,7;4,270241E-06
3,75;4,296929E-06
3,8;4,323806E-06
3,85;4,35028E-06
3,9;4,37669E-06
3,95;4,403028E-06
4;4,429093E-06
4,05;4,454702E-06
4,1;4,480297E-06
4,15;4,505773E-06
4,2;4,53138E-06
4,25;4,556403E-06
4,3;4,581221E-06
4,35;4,60588E-06
4,4;4,630304E-06
4,45;4,65437E-06
4,5;4,678404E-06
4,55;4,702234E-06
4,6;4,725451E-06
4,65;4,748596E-06
4,7;4,770961E-06
4,75;4,793147E-06
4,8;4,815272E-06
4,85;4,836966E-06
4,9;4,858179E-06
4,95;4,879104E-06
5;4,899853E-06
