Tensao [V];Corrente [A]
-5;-9,621692E-10
-4,95;-9,243699E-10
-4,9;-9,00444E-10
-4,85;-8,790134E-10
-4,8;-8,604142E-10
-4,75;-8,418728E-10
-4,7;-8,280091E-10
-4,65;-8,172117E-10
-4,6;-7,986615E-10
-4,55;-7,814958E-10
-4,5;-7,674087E-10
-4,45;-7,595592E-10
-4,4;-7,490589E-10
-4,35;-7,362513E-10
-4,3;-7,261591E-10
-4,25;-7,156665E-10
-4,2;-7,026737E-10
-4,15;-6,874288E-10
-4,1;-6,757673E-10
-4,05;-6,653866E-10
-4;-6,554112E-10
-3,95;-6,412942E-10
-3,9;-6,303689E-10
-3,85;-6,237799E-10
-3,8;-6,099419E-10
-3,75;-5,94743E-10
-3,7;-5,859694E-10
-3,65;-5,767667E-10
-3,6;-5,650342E-10
-3,55;-5,518689E-10
-3,5;-5,418537E-10
-3,45;-5,350578E-10
-3,4;-5,2322E-10
-3,35;-5,087012E-10
-3,3;-4,955567E-10
-3,25;-4,831983E-10
-3,2;-4,726707E-10
-3,15;-4,56215E-10
-3,1;-4,435116E-10
-3,05;-4,316485E-10
-3;-4,183761E-10
-2,95;-3,964609E-10
-2,9;-3,780225E-10
-2,85;-3,615318E-10
-2,8;-3,422656E-10
-2,75;-3,179382E-10
-2,7;-2,940532E-10
-2,65;-2,697825E-10
-2,6;-2,451988E-10
-2,55;-2,145364E-10
-2,5;-1,836731E-10
-2,45;-1,528394E-10
-2,4;-1,184698E-10
-2,35;-8,571416E-11
-2,3;-5,32001E-11
-2,25;-2,198326E-11
-2,2;9,386624E-12
-2,15;4,130539E-11
-2,1;7,417298E-11
-2,05;1,036054E-10
-2;1,387288E-10
-1,95;1,731905E-10
-1,9;2,095866E-10
-1,85;2,480144E-10
-1,8;2,828298E-10
-1,75;3,190582E-10
-1,7;3,585285E-10
-1,65;3,988867E-10
-1,6;4,40641E-10
-1,55;4,877155E-10
-1,5;5,363345E-10
-1,45;5,864222E-10
-1,4;6,35719E-10
-1,35;6,901402E-10
-1,3;7,564602E-10
-1,25;8,240428E-10
-1,2;9,048904E-10
-1,15;9,992017E-10
-1,1;1,111256E-09
-1,05;1,242506E-09
-1;1,408214E-09
-0,95;1,622796E-09
-0,9;1,90672E-09
-0,85;2,479471E-09
-0,8;2,926635E-09
-0,75;3,863912E-09
-0,7;5,349591E-09
-0,65;7,710542E-09
-0,6;1,143761E-08
-0,55;1,724876E-08
-0,5;3,068991E-08
-0,45;4,51478E-08
-0,4;6,379954E-08
-0,35;8,641072E-08
-0,3;1,125287E-07
-0,25;1,419291E-07
-0,2;1,746802E-07
-0,15;2,101472E-07
-0,1;2,475388E-07
-0,05;2,861178E-07
0;3,260797E-07
0,05;3,665371E-07
0,1;4,078707E-07
0,15;4,501058E-07
0,2;4,932282E-07
0,25;5,372672E-07
0,3;5,823075E-07
0,35;6,283717E-07
0,4;6,755376E-07
0,45;7,236794E-07
0,5;7,727679E-07
0,55;8,228051E-07
0,6;8,738203E-07
0,65;9,256939E-07
0,7;9,786299E-07
0,75;1,032104E-06
0,8;1,086294E-06
0,85;1,141092E-06
0,9;1,196212E-06
0,95;1,251659E-06
1;1,307192E-06
1,05;1,362725E-06
1,1;1,417992E-06
1,15;1,472721E-06
1,2;1,526919E-06
1,25;1,58043E-06
1,3;1,632926E-06
1,35;1,68492E-06
1,4;1,735665E-06
1,45;1,785794E-06
1,5;1,835871E-06
1,55;1,884019E-06
1,6;1,931197E-06
1,65;1,977416E-06
1,7;2,02158E-06
1,75;2,06496E-06
1,8;2,106292E-06
1,85;2,148242E-06
1,9;2,189513E-06
1,95;2,229507E-06
2;2,268951E-06
2,05;2,307555E-06
2,1;2,345798E-06
2,15;2,382821E-06
2,2;2,418917E-06
2,25;2,454514E-06
2,3;2,489573E-06
2,35;2,52374E-06
2,4;2,557219E-06
2,45;2,590022E-06
2,5;2,622249E-06
2,55;2,653485E-06
2,6;2,683958E-06
2,65;2,714067E-06
2,7;2,743296E-06
2,75;2,771726E-06
2,8;2,799429E-06
2,85;2,826041E-06
2,9;2,852354E-06
2,95;2,877514E-06
3;2,902136E-06
3,05;2,925791E-06
3,1;2,948945E-06
3,15;2,971511E-06
3,2;2,993276E-06
3,25;3,014725E-06
3,3;3,035851E-06
3,35;3,056462E-06
3,4;3,076583E-06
3,45;3,096496E-06
3,5;3,116655E-06
3,55;3,136151E-06
3,6;3,155569E-06
3,65;3,174791E-06
3,7;3,194213E-06
3,75;3,213695E-06
3,8;3,232729E-06
3,85;3,251648E-06
3,9;3,271095E-06
3,95;3,289886E-06
4;3,308856E-06
4,05;3,327538E-06
4,1;3,346408E-06
4,15;3,365205E-06
4,2;3,383381E-06
4,25;3,401902E-06
4,3;3,420108E-06
4,35;3,438323E-06
4,4;3,456165E-06
4,45;3,473933E-06
4,5;3,491514E-06
4,55;3,509092E-06
4,6;3,526197E-06
4,65;3,543187E-06
4,7;3,559624E-06
4,75;3,5762E-06
4,8;3,592428E-06
4,85;3,608137E-06
4,9;3,623926E-06
4,95;3,639552E-06
5;3,654672E-06
