Tensao [V];Corrente [A]
-5;-9,932445E-10
-4,95;-9,596407E-10
-4,9;-9,295491E-10
-4,85;-9,089475E-10
-4,8;-8,918217E-10
-4,75;-8,745447E-10
-4,7;-8,551151E-10
-4,65;-8,412993E-10
-4,6;-8,314134E-10
-4,55;-8,196699E-10
-4,5;-8,045705E-10
-4,45;-7,899388E-10
-4,4;-7,805629E-10
-4,35;-7,677596E-10
-4,3;-7,536867E-10
-4,25;-7,417729E-10
-4,2;-7,313143E-10
-4,15;-7,191323E-10
-4,1;-7,08017E-10
-4,05;-6,948181E-10
-4;-6,860709E-10
-3,95;-6,713932E-10
-3,9;-6,599583E-10
-3,85;-6,474442E-10
-3,8;-6,359736E-10
-3,75;-6,280629E-10
-3,7;-6,130634E-10
-3,65;-5,991711E-10
-3,6;-5,910854E-10
-3,55;-5,805169E-10
-3,5;-5,67498E-10
-3,45;-5,538031E-10
-3,4;-5,431403E-10
-3,35;-5,339172E-10
-3,3;-5,214741E-10
-3,25;-5,037454E-10
-3,2;-4,943266E-10
-3,15;-4,835292E-10
-3,1;-4,683776E-10
-3,05;-4,510989E-10
-3;-4,365819E-10
-2,95;-4,20042E-10
-2,9;-4,044965E-10
-2,85;-3,841178E-10
-2,8;-3,650551E-10
-2,75;-3,464641E-10
-2,7;-3,216721E-10
-2,65;-2,951172E-10
-2,6;-2,707207E-10
-2,55;-2,479742E-10
-2,5;-2,197215E-10
-2,45;-1,865446E-10
-2,4;-1,535895E-10
-2,35;-1,174792E-10
-2,3;-8,256755E-11
-2,25;-4,437634E-11
-2,2;-6,511582E-12
-2,15;2,778113E-11
-2,1;6,887623E-11
-2,05;1,074998E-10
-2;1,461836E-10
-1,95;1,832845E-10
-1,9;2,215273E-10
-1,85;2,625175E-10
-1,8;3,060177E-10
-1,75;3,473124E-10
-1,7;3,910662E-10
-1,65;4,399873E-10
-1,6;4,88127E-10
-1,55;5,384859E-10
-1,5;5,930607E-10
-1,45;6,51131E-10
-1,4;7,115228E-10
-1,35;7,727534E-10
-1,3;8,458764E-10
-1,25;9,30138E-10
-1,2;1,025583E-09
-1,15;1,134323E-09
-1,1;1,26665E-09
-1,05;1,43175E-09
-1;1,635142E-09
-0,95;1,894035E-09
-0,9;2,198291E-09
-0,85;2,729272E-09
-0,8;3,498462E-09
-0,75;4,692229E-09
-0,7;6,547596E-09
-0,65;9,458989E-09
-0,6;1,400343E-08
-0,55;2,499592E-08
-0,5;3,762361E-08
-0,45;5,491297E-08
-0,4;7,710728E-08
-0,35;1,037929E-07
-0,3;1,343014E-07
-0,25;1,684828E-07
-0,2;2,063178E-07
-0,15;2,470794E-07
-0,1;2,898901E-07
-0,05;3,33935E-07
0;3,794762E-07
0,05;4,256334E-07
0,1;4,728075E-07
0,15;5,2102E-07
0,2;5,703736E-07
0,25;6,207894E-07
0,3;6,724209E-07
0,35;7,253666E-07
0,4;7,796029E-07
0,45;8,350836E-07
0,5;8,918309E-07
0,55;9,498378E-07
0,6;1,00923E-06
0,65;1,069795E-06
0,7;1,131751E-06
0,75;1,194632E-06
0,8;1,258617E-06
0,85;1,323504E-06
0,9;1,388975E-06
0,95;1,454997E-06
1;1,521308E-06
1,05;1,587632E-06
1,1;1,653818E-06
1,15;1,719526E-06
1,2;1,784691E-06
1,25;1,849044E-06
1,3;1,91251E-06
1,35;1,975203E-06
1,4;2,037302E-06
1,45;2,098324E-06
1,5;2,158615E-06
1,55;2,217629E-06
1,6;2,275376E-06
1,65;2,33181E-06
1,7;2,387177E-06
1,75;2,441167E-06
1,8;2,494193E-06
1,85;2,546127E-06
1,9;2,597274E-06
1,95;2,646903E-06
2;2,696108E-06
2,05;2,743943E-06
2,1;2,791366E-06
2,15;2,837601E-06
2,2;2,883011E-06
2,25;2,927477E-06
2,3;2,971167E-06
2,35;3,013794E-06
2,4;3,05563E-06
2,45;3,096915E-06
2,5;3,137099E-06
2,55;3,176476E-06
2,6;3,214918E-06
2,65;3,252645E-06
2,7;3,289445E-06
2,75;3,324991E-06
2,8;3,35991E-06
2,85;3,393679E-06
2,9;3,426417E-06
2,95;3,45823E-06
3;3,489078E-06
3,05;3,518722E-06
3,1;3,547718E-06
3,15;3,575971E-06
3,2;3,603539E-06
3,25;3,630262E-06
3,3;3,656687E-06
3,35;3,682084E-06
3,4;3,707332E-06
3,45;3,732327E-06
3,5;3,757087E-06
3,55;3,78142E-06
3,6;3,805648E-06
3,65;3,829808E-06
3,7;3,853489E-06
3,75;3,877358E-06
3,8;3,90056E-06
3,85;3,924392E-06
3,9;3,947962E-06
3,95;3,970887E-06
4;3,994206E-06
4,05;4,017098E-06
4,1;4,039889E-06
4,15;4,062681E-06
4,2;4,08531E-06
4,25;4,107575E-06
4,3;4,129881E-06
4,35;4,151865E-06
4,4;4,173528E-06
4,45;4,195419E-06
4,5;4,216706E-06
4,55;4,237981E-06
4,6;4,258757E-06
4,65;4,279405E-06
4,7;4,299738E-06
4,75;4,319588E-06
4,8;4,339332E-06
4,85;4,35878E-06
4,9;4,377787E-06
4,95;4,39666E-06
5;4,415076E-06
