Tensao [V];Corrente [A]
-5;-4,033309E-10
-4,95;-3,759528E-10
-4,9;-3,556565E-10
-4,85;-3,41449E-10
-4,8;-3,260882E-10
-4,75;-3,125621E-10
-4,7;-3,005907E-10
-4,65;-2,897922E-10
-4,6;-2,786989E-10
-4,55;-2,658563E-10
-4,5;-2,545282E-10
-4,45;-2,447643E-10
-4,4;-2,340853E-10
-4,35;-2,238399E-10
-4,3;-2,121184E-10
-4,25;-2,031381E-10
-4,2;-1,928535E-10
-4,15;-1,799198E-10
-4,1;-1,705836E-10
-4,05;-1,61468E-10
-4;-1,50896E-10
-3,95;-1,407689E-10
-3,9;-1,307526E-10
-3,85;-1,229159E-10
-3,8;-1,12928E-10
-3,75;-1,01246E-10
-3,7;-8,947899E-11
-3,65;-8,12122E-11
-3,6;-7,391254E-11
-3,55;-6,133613E-11
-3,5;-5,244353E-11
-3,45;-4,184201E-11
-3,4;-3,35863E-11
-3,35;-2,209654E-11
-3,3;-1,268273E-11
-3,25;-6,828193E-12
-3,2;4,819398E-12
-3,15;1,410165E-11
-3,1;2,421924E-11
-3,05;3,460665E-11
-3;4,505071E-11
-2,95;5,664307E-11
-2,9;6,844118E-11
-2,85;7,956412E-11
-2,8;8,986897E-11
-2,75;9,935326E-11
-2,7;1,129218E-10
-2,65;1,23568E-10
-2,6;1,313668E-10
-2,55;1,43266E-10
-2,5;1,558266E-10
-2,45;1,672343E-10
-2,4;1,766694E-10
-2,35;1,878771E-10
-2,3;2,025658E-10
-2,25;2,133697E-10
-2,2;2,232001E-10
-2,15;2,351115E-10
-2,1;2,48977E-10
-2,05;2,593558E-10
-2;2,661665E-10
-1,95;2,790846E-10
-1,9;2,932261E-10
-1,85;3,094547E-10
-1,8;3,192113E-10
-1,75;3,309464E-10
-1,7;3,473388E-10
-1,65;3,608704E-10
-1,6;3,726871E-10
-1,55;3,830632E-10
-1,5;3,99201E-10
-1,45;4,161979E-10
-1,4;4,274875E-10
-1,35;4,395947E-10
-1,3;4,565725E-10
-1,25;4,734781E-10
-1,2;4,870703E-10
-1,15;5,006354E-10
-1,1;5,188427E-10
-1,05;5,388152E-10
-1;5,527759E-10
-0,95;5,675578E-10
-0,9;5,850047E-10
-0,85;6,048869E-10
-0,8;6,228697E-10
-0,75;6,396565E-10
-0,7;6,615031E-10
-0,65;6,840615E-10
-0,6;7,059099E-10
-0,55;7,332436E-10
-0,5;7,701228E-10
-0,45;8,346916E-10
-0,4;9,267224E-10
-0,35;1,053822E-09
-0,3;1,246333E-09
-0,25;1,543536E-09
-0,2;1,972181E-09
-0,15;2,613293E-09
-0,1;3,230166E-09
-0,05;4,050172E-09
0;5,231843E-09
0,05;6,076486E-09
0,1;7,18635E-09
0,15;8,335277E-09
0,2;9,404062E-09
0,25;1,047088E-08
0,3;1,161762E-08
0,35;1,276987E-08
0,4;1,383685E-08
0,45;1,487103E-08
0,5;1,595866E-08
0,55;1,70495E-08
0,6;1,808417E-08
0,65;1,90853E-08
0,7;2,064512E-08
0,75;2,166113E-08
0,8;2,271799E-08
0,85;2,381127E-08
0,9;2,483178E-08
0,95;2,583247E-08
1;2,687045E-08
1,05;2,797542E-08
1,1;2,898527E-08
1,15;2,993544E-08
1,2;3,092331E-08
1,25;3,192147E-08
1,3;3,291008E-08
1,35;3,378322E-08
1,4;3,471905E-08
1,45;3,570945E-08
1,5;3,661726E-08
1,55;3,747344E-08
1,6;3,832021E-08
1,65;3,925113E-08
1,7;4,01528E-08
1,75;4,095143E-08
1,8;4,173916E-08
1,85;4,25839E-08
1,9;4,347309E-08
1,95;4,425525E-08
2;4,498894E-08
2,05;4,582099E-08
2,1;4,661977E-08
2,15;4,741662E-08
2,2;4,80862E-08
2,25;4,887589E-08
2,3;4,964681E-08
2,35;5,039114E-08
2,4;5,104839E-08
2,45;5,175506E-08
2,5;5,254476E-08
2,55;5,324429E-08
2,6;5,390656E-08
2,65;5,458234E-08
2,7;5,529448E-08
2,75;5,59885E-08
2,8;5,660779E-08
2,85;5,723015E-08
2,9;5,792174E-08
2,95;5,856828E-08
3;5,910347E-08
3,05;5,968658E-08
3,1;6,027421E-08
3,15;6,088969E-08
3,2;6,141164E-08
3,25;6,193257E-08
3,3;6,246685E-08
3,35;6,302037E-08
3,4;6,351568E-08
3,45;6,396526E-08
3,5;6,449083E-08
3,55;6,502847E-08
3,6;6,54919E-08
3,65;6,589306E-08
3,7;6,637482E-08
3,75;6,69018E-08
3,8;6,738163E-08
3,85;6,777442E-08
3,9;6,8231E-08
3,95;6,876203E-08
4;6,922318E-08
4,05;6,962213E-08
4,1;7,005897E-08
4,15;7,056148E-08
4,2;7,101848E-08
4,25;7,142407E-08
4,3;7,183278E-08
4,35;7,230588E-08
4,4;7,278258E-08
4,45;7,320426E-08
4,5;7,356602E-08
4,55;7,402812E-08
4,6;7,448298E-08
4,65;7,491374E-08
4,7;7,524553E-08
4,75;7,569789E-08
4,8;7,61456E-08
4,85;7,652748E-08
4,9;7,686625E-08
4,95;7,726617E-08
5;7,769813E-08
