Tensao [V];Corrente [A]
-5;-2,500187E-10
-4,95;-2,253969E-10
-4,9;-2,04337E-10
-4,85;-1,855006E-10
-4,8;-1,737326E-10
-4,75;-1,636115E-10
-4,7;-1,508073E-10
-4,65;-1,41725E-10
-4,6;-1,310766E-10
-4,55;-1,220829E-10
-4,5;-1,113435E-10
-4,45;-1,00976E-10
-4,4;-9,294947E-11
-4,35;-8,335955E-11
-4,3;-7,229478E-11
-4,25;-6,624935E-11
-4,2;-5,86934E-11
-4,15;-4,967141E-11
-4,1;-3,631639E-11
-4,05;-2,659213E-11
-4;-1,8929E-11
-3,95;-9,50289E-12
-3,9;1,267397E-12
-3,85;1,07172E-11
-3,8;1,794194E-11
-3,75;2,724759E-11
-3,7;3,792454E-11
-3,65;4,365356E-11
-3,6;5,266966E-11
-3,55;6,006193E-11
-3,5;6,942555E-11
-3,45;7,658375E-11
-3,4;8,587455E-11
-3,35;9,525052E-11
-3,3;1,031911E-10
-3,25;1,137891E-10
-3,2;1,220451E-10
-3,15;1,311709E-10
-3,1;1,401205E-10
-3,05;1,495283E-10
-3;1,568209E-10
-2,95;1,65943E-10
-2,9;1,766925E-10
-2,85;1,872143E-10
-2,8;1,956982E-10
-2,75;2,041574E-10
-2,7;2,134692E-10
-2,65;2,220048E-10
-2,6;2,322074E-10
-2,55;2,394335E-10
-2,5;2,474871E-10
-2,45;2,58131E-10
-2,4;2,696024E-10
-2,35;2,796907E-10
-2,3;2,875806E-10
-2,25;2,991718E-10
-2,2;3,065196E-10
-2,15;3,145132E-10
-2,1;3,275396E-10
-2,05;3,397518E-10
-2;3,487281E-10
-1,95;3,568563E-10
-1,9;3,676168E-10
-1,85;3,787117E-10
-1,8;3,886256E-10
-1,75;3,995949E-10
-1,7;4,085594E-10
-1,65;4,195121E-10
-1,6;4,301347E-10
-1,55;4,423494E-10
-1,5;4,542949E-10
-1,45;4,65863E-10
-1,4;4,781365E-10
-1,35;4,904078E-10
-1,3;5,006225E-10
-1,25;5,131529E-10
-1,2;5,260931E-10
-1,15;5,365837E-10
-1,1;5,485098E-10
-1,05;5,614612E-10
-1;5,762679E-10
-0,95;5,886924E-10
-0,9;6,04133E-10
-0,85;6,182205E-10
-0,8;6,333529E-10
-0,75;6,497483E-10
-0,7;6,635189E-10
-0,65;6,798633E-10
-0,6;6,985464E-10
-0,55;7,188752E-10
-0,5;7,417914E-10
-0,45;7,805575E-10
-0,4;8,343643E-10
-0,35;9,045089E-10
-0,3;9,980013E-10
-0,25;1,13628E-09
-0,2;1,336764E-09
-0,15;1,594551E-09
-0,1;1,91754E-09
-0,05;2,462194E-09
0;2,916747E-09
0,05;3,283132E-09
0,1;3,790972E-09
0,15;4,337695E-09
0,2;4,84183E-09
0,25;5,335384E-09
0,3;5,858928E-09
0,35;6,396727E-09
0,4;6,888218E-09
0,45;7,355523E-09
0,5;7,841988E-09
0,55;8,335757E-09
0,6;8,806968E-09
0,65;9,259331E-09
0,7;9,731204E-09
0,75;1,021592E-08
0,8;1,068492E-08
0,85;1,113777E-08
0,9;1,160645E-08
0,95;1,208773E-08
1;1,25657E-08
1,05;1,301593E-08
1,1;1,347988E-08
1,15;1,396155E-08
1,2;1,442601E-08
1,25;1,48674E-08
1,3;1,531491E-08
1,35;1,577489E-08
1,4;1,622117E-08
1,45;1,664372E-08
1,5;1,706801E-08
1,55;1,750602E-08
1,6;1,792971E-08
1,65;1,834266E-08
1,7;1,874644E-08
1,75;1,915123E-08
1,8;1,955617E-08
1,85;1,995612E-08
1,9;2,052237E-08
1,95;2,09066E-08
2;2,128856E-08
2,05;2,163335E-08
2,1;2,20245E-08
2,15;2,239402E-08
2,2;2,276207E-08
2,25;2,312759E-08
2,3;2,348342E-08
2,35;2,384919E-08
2,4;2,419749E-08
2,45;2,451702E-08
2,5;2,487299E-08
2,55;2,523373E-08
2,6;2,55677E-08
2,65;2,587053E-08
2,7;2,61981E-08
2,75;2,655886E-08
2,8;2,685701E-08
2,85;2,716335E-08
2,9;2,748386E-08
2,95;2,780389E-08
3;2,809593E-08
3,05;2,837045E-08
3,1;2,864715E-08
3,15;2,895823E-08
3,2;2,924008E-08
3,25;2,951325E-08
3,3;2,977448E-08
3,35;3,005241E-08
3,4;3,030081E-08
3,45;3,055173E-08
3,5;3,079435E-08
3,55;3,104103E-08
3,6;3,131833E-08
3,65;3,153458E-08
3,7;3,17595E-08
3,75;3,202334E-08
3,8;3,22753E-08
3,85;3,250108E-08
3,9;3,273678E-08
3,95;3,296434E-08
4;3,320595E-08
4,05;3,342774E-08
4,1;3,365153E-08
4,15;3,389517E-08
4,2;3,416593E-08
4,25;3,437941E-08
4,3;3,459402E-08
4,35;3,483789E-08
4,4;3,507977E-08
4,45;3,529817E-08
4,5;3,550889E-08
4,55;3,573792E-08
4,6;3,599127E-08
4,65;3,620901E-08
4,7;3,639121E-08
4,75;3,66068E-08
4,8;3,68433E-08
4,85;3,705512E-08
4,9;3,725452E-08
4,95;3,746651E-08
5;3,770689E-08
