Tensao [V];Corrente [A]
-5;-2,654523E-10
-4,95;-2,410854E-10
-4,9;-2,227594E-10
-4,85;-2,038787E-10
-4,8;-1,909624E-10
-4,75;-1,77563E-10
-4,7;-1,648276E-10
-4,65;-1,516278E-10
-4,6;-1,400359E-10
-4,55;-1,311173E-10
-4,5;-1,24037E-10
-4,45;-1,137324E-10
-4,4;-1,041633E-10
-4,35;-9,569943E-11
-4,3;-8,582113E-11
-4,25;-7,52357E-11
-4,2;-6,515169E-11
-4,15;-5,58229E-11
-4,1;-4,902216E-11
-4,05;-4,050652E-11
-4;-3,107545E-11
-3,95;-2,152609E-11
-3,9;-1,325314E-11
-3,85;-4,742399E-12
-3,8;3,512191E-12
-3,75;1,270328E-11
-3,7;2,063397E-11
-3,65;3,188872E-11
-3,6;4,117839E-11
-3,55;5,035961E-11
-3,5;5,652476E-11
-3,45;6,796187E-11
-3,4;7,611806E-11
-3,35;8,467461E-11
-3,3;8,948452E-11
-3,25;9,901687E-11
-3,2;1,058745E-10
-3,15;1,142278E-10
-3,1;1,223938E-10
-3,05;1,331127E-10
-3;1,413316E-10
-2,95;1,505659E-10
-2,9;1,592776E-10
-2,85;1,693904E-10
-2,8;1,810454E-10
-2,75;1,895848E-10
-2,7;1,965421E-10
-2,65;2,056421E-10
-2,6;2,175623E-10
-2,55;2,260387E-10
-2,5;2,325553E-10
-2,45;2,420875E-10
-2,4;2,516974E-10
-2,35;2,644096E-10
-2,3;2,738311E-10
-2,25;2,843209E-10
-2,2;2,940824E-10
-2,15;3,039313E-10
-2,1;3,146982E-10
-2,05;3,253495E-10
-2;3,347511E-10
-1,95;3,451459E-10
-1,9;3,54534E-10
-1,85;3,627544E-10
-1,8;3,758376E-10
-1,75;3,857025E-10
-1,7;3,949245E-10
-1,65;4,053586E-10
-1,6;4,175025E-10
-1,55;4,293268E-10
-1,5;4,38322E-10
-1,45;4,502853E-10
-1,4;4,635029E-10
-1,35;4,75434E-10
-1,3;4,860355E-10
-1,25;4,984388E-10
-1,2;5,129694E-10
-1,15;5,259133E-10
-1,1;5,388428E-10
-1,05;5,513585E-10
-1;5,657577E-10
-0,95;5,773045E-10
-0,9;5,902104E-10
-0,85;6,060634E-10
-0,8;6,231972E-10
-0,75;6,3726E-10
-0,7;6,529303E-10
-0,65;6,653291E-10
-0,6;6,823019E-10
-0,55;7,018709E-10
-0,5;7,32248E-10
-0,45;7,66904E-10
-0,4;8,171906E-10
-0,35;8,868549E-10
-0,3;9,920592E-10
-0,25;1,131648E-09
-0,2;1,31698E-09
-0,15;1,565565E-09
-0,1;1,924577E-09
-0,05;2,447936E-09
0;2,912934E-09
0,05;3,321062E-09
0,1;3,81472E-09
0,15;4,305603E-09
0,2;4,817827E-09
0,25;5,370172E-09
0,3;5,886684E-09
0,35;6,37262E-09
0,4;6,872587E-09
0,45;7,391332E-09
0,5;7,882095E-09
0,55;8,339101E-09
0,6;8,804562E-09
0,65;9,295137E-09
0,7;9,777324E-09
0,75;1,022683E-08
0,8;1,069186E-08
0,85;1,118007E-08
0,9;1,166075E-08
0,95;1,211904E-08
1;1,258004E-08
1,05;1,306412E-08
1,1;1,354266E-08
1,15;1,399463E-08
1,2;1,443602E-08
1,25;1,490738E-08
1,3;1,537071E-08
1,35;1,580854E-08
1,4;1,624188E-08
1,45;1,669394E-08
1,5;1,713585E-08
1,55;1,755918E-08
1,6;1,796262E-08
1,65;1,838143E-08
1,7;1,880008E-08
1,75;1,920794E-08
1,8;1,960412E-08
1,85;2,001091E-08
1,9;2,060391E-08
1,95;2,096427E-08
2;2,13421E-08
2,05;2,170134E-08
2,1;2,208722E-08
2,15;2,247809E-08
2,2;2,282993E-08
2,25;2,319871E-08
2,3;2,354009E-08
2,35;2,390725E-08
2,4;2,425165E-08
2,45;2,461641E-08
2,5;2,495971E-08
2,55;2,529178E-08
2,6;2,56343E-08
2,65;2,59767E-08
2,7;2,630793E-08
2,75;2,663474E-08
2,8;2,696343E-08
2,85;2,725909E-08
2,9;2,756003E-08
2,95;2,788672E-08
3;2,818665E-08
3,05;2,848819E-08
3,1;2,876124E-08
3,15;2,905551E-08
3,2;2,932629E-08
3,25;2,959406E-08
3,3;2,985049E-08
3,35;3,012052E-08
3,4;3,036968E-08
3,45;3,063331E-08
3,5;3,089301E-08
3,55;3,116014E-08
3,6;3,139574E-08
3,65;3,163662E-08
3,7;3,189834E-08
3,75;3,213405E-08
3,8;3,235933E-08
3,85;3,259847E-08
3,9;3,28396E-08
3,95;3,308423E-08
4;3,331341E-08
4,05;3,355138E-08
4,1;3,378273E-08
4,15;3,401616E-08
4,2;3,426394E-08
4,25;3,44964E-08
4,3;3,47452E-08
4,35;3,497802E-08
4,4;3,519023E-08
4,45;3,541879E-08
4,5;3,564849E-08
4,55;3,587203E-08
4,6;3,610084E-08
4,65;3,631605E-08
4,7;3,653922E-08
4,75;3,674896E-08
4,8;3,699032E-08
4,85;3,719008E-08
4,9;3,737943E-08
4,95;3,760698E-08
5;3,780993E-08
