Tensao [V];Corrente [A]
-5;-4,466422E-10
-4,95;-4,222678E-10
-4,9;-4,028501E-10
-4,85;-3,85527E-10
-4,8;-3,729434E-10
-4,75;-3,598137E-10
-4,7;-3,477106E-10
-4,65;-3,354174E-10
-4,6;-3,218728E-10
-4,55;-3,113476E-10
-4,5;-2,996216E-10
-4,45;-2,888745E-10
-4,4;-2,774316E-10
-4,35;-2,67206E-10
-4,3;-2,559233E-10
-4,25;-2,462445E-10
-4,2;-2,357539E-10
-4,15;-2,264166E-10
-4,1;-2,155293E-10
-4,05;-2,071468E-10
-4;-1,966068E-10
-3,95;-1,860448E-10
-3,9;-1,771006E-10
-3,85;-1,665853E-10
-3,8;-1,558065E-10
-3,75;-1,444487E-10
-3,7;-1,333876E-10
-3,65;-1,228207E-10
-3,6;-1,126012E-10
-3,55;-1,011755E-10
-3,5;-9,147834E-11
-3,45;-8,035084E-11
-3,4;-6,902495E-11
-3,35;-5,846906E-11
-3,3;-4,770254E-11
-3,25;-3,624611E-11
-3,2;-2,484264E-11
-3,15;-1,338986E-11
-3,1;-3,944047E-12
-3,05;6,751234E-12
-3;1,523511E-11
-2,95;2,62656E-11
-2,9;3,586693E-11
-2,85;4,840302E-11
-2,8;5,992018E-11
-2,75;7,098026E-11
-2,7;8,308144E-11
-2,65;9,506431E-11
-2,6;1,057165E-10
-2,55;1,186764E-10
-2,5;1,304943E-10
-2,45;1,435391E-10
-2,4;1,543404E-10
-2,35;1,659008E-10
-2,3;1,772281E-10
-2,25;1,914941E-10
-2,2;2,038823E-10
-2,15;2,166278E-10
-2,1;2,296013E-10
-2,05;2,427916E-10
-2;2,556627E-10
-1,95;2,686805E-10
-1,9;2,833801E-10
-1,85;2,963167E-10
-1,8;3,080468E-10
-1,75;3,217129E-10
-1,7;3,342376E-10
-1,65;3,507236E-10
-1,6;3,662068E-10
-1,55;3,79551E-10
-1,5;3,931933E-10
-1,45;4,103757E-10
-1,4;4,261386E-10
-1,35;4,421145E-10
-1,3;4,579018E-10
-1,25;4,759453E-10
-1,2;4,902739E-10
-1,15;5,067917E-10
-1,1;5,235821E-10
-1,05;5,434213E-10
-1;5,624175E-10
-0,95;5,80893E-10
-0,9;5,969051E-10
-0,85;6,175487E-10
-0,8;6,38803E-10
-0,75;6,598391E-10
-0,7;6,821493E-10
-0,65;7,057847E-10
-0,6;7,340294E-10
-0,55;7,671995E-10
-0,5;8,128093E-10
-0,45;8,824993E-10
-0,4;9,990233E-10
-0,35;1,177895E-09
-0,3;1,425233E-09
-0,25;1,79225E-09
-0,2;2,59473E-09
-0,15;3,086228E-09
-0,1;4,085611E-09
-0,05;5,25953E-09
0;6,974906E-09
0,05;8,039967E-09
0,1;9,478397E-09
0,15;1,10589E-08
0,2;1,262799E-08
0,25;1,411424E-08
0,3;1,562922E-08
0,35;1,721836E-08
0,4;1,877595E-08
0,45;2,093257E-08
0,5;2,238044E-08
0,55;2,385782E-08
0,6;2,531472E-08
0,65;2,676622E-08
0,7;2,820114E-08
0,75;2,965543E-08
0,8;3,111546E-08
0,85;3,259098E-08
0,9;3,404158E-08
0,95;3,548165E-08
1;3,695201E-08
1,05;3,840528E-08
1,1;3,980324E-08
1,15;4,119657E-08
1,2;4,264432E-08
1,25;4,395611E-08
1,3;4,526653E-08
1,35;4,655553E-08
1,4;4,785979E-08
1,45;4,915272E-08
1,5;5,034123E-08
1,55;5,156937E-08
1,6;5,279192E-08
1,65;5,399465E-08
1,7;5,515702E-08
1,75;5,62483E-08
1,8;5,742941E-08
1,85;5,855673E-08
1,9;5,96706E-08
1,95;6,073763E-08
2;6,183777E-08
2,05;6,290296E-08
2,1;6,397405E-08
2,15;6,497768E-08
2,2;6,600072E-08
2,25;6,706745E-08
2,3;6,807003E-08
2,35;6,903919E-08
2,4;7,0047E-08
2,45;7,10283E-08
2,5;7,197362E-08
2,55;7,292152E-08
2,6;7,384413E-08
2,65;7,479873E-08
2,7;7,570525E-08
2,75;7,65692E-08
2,8;7,740858E-08
2,85;7,82875E-08
2,9;7,912154E-08
2,95;7,989984E-08
3;8,068817E-08
3,05;8,151628E-08
3,1;8,22961E-08
3,15;8,303068E-08
3,2;8,373704E-08
3,25;8,446779E-08
3,3;8,517735E-08
3,35;8,587697E-08
3,4;8,650019E-08
3,45;8,720622E-08
3,5;8,786299E-08
3,55;8,85066E-08
3,6;8,912503E-08
3,65;8,975996E-08
3,7;9,045203E-08
3,75;9,104146E-08
3,8;9,163484E-08
3,85;9,224539E-08
3,9;9,289585E-08
3,95;9,351399E-08
4;9,407926E-08
4,05;9,468688E-08
4,1;9,529075E-08
4,15;9,588766E-08
4,2;9,64613E-08
4,25;9,705015E-08
4,3;9,765039E-08
4,35;9,822583E-08
4,4;9,87666E-08
4,45;9,936495E-08
4,5;9,992575E-08
4,55;1,004895E-07
4,6;1,009957E-07
4,65;1,015623E-07
4,7;1,021479E-07
4,75;1,026924E-07
4,8;1,031966E-07
4,85;1,036899E-07
4,9;1,042293E-07
4,95;1,047396E-07
5;1,052141E-07
