Tensao [V];Corrente [A]
-5;-4,835511E-10
-4,95;-4,55737E-10
-4,9;-4,332267E-10
-4,85;-4,170802E-10
-4,8;-4,024638E-10
-4,75;-3,874146E-10
-4,7;-3,732947E-10
-4,65;-3,642172E-10
-4,6;-3,538141E-10
-4,55;-3,383731E-10
-4,5;-3,27555E-10
-4,45;-3,182508E-10
-4,4;-3,058028E-10
-4,35;-2,957544E-10
-4,3;-2,841488E-10
-4,25;-2,727168E-10
-4,2;-2,62628E-10
-4,15;-2,509609E-10
-4,1;-2,389512E-10
-4,05;-2,321591E-10
-4;-2,214838E-10
-3,95;-2,122782E-10
-3,9;-1,986029E-10
-3,85;-1,894923E-10
-3,8;-1,793824E-10
-3,75;-1,669944E-10
-3,7;-1,560185E-10
-3,65;-1,460737E-10
-3,6;-1,385855E-10
-3,55;-1,285003E-10
-3,5;-1,159424E-10
-3,45;-1,043012E-10
-3,4;-9,440317E-11
-3,35;-8,663414E-11
-3,3;-7,370788E-11
-3,25;-6,196562E-11
-3,2;-5,224377E-11
-3,15;-4,087602E-11
-3,1;-3,075135E-11
-3,05;-2,019549E-11
-3;-7,232279E-12
-2,95;2,853041E-12
-2,9;1,355953E-11
-2,85;2,436952E-11
-2,8;3,448338E-11
-2,75;4,623466E-11
-2,7;6,065083E-11
-2,65;7,351583E-11
-2,6;8,469421E-11
-2,55;9,57555E-11
-2,5;1,107126E-10
-2,45;1,221323E-10
-2,4;1,331814E-10
-2,35;1,442895E-10
-2,3;1,568762E-10
-2,25;1,712812E-10
-2,2;1,81246E-10
-2,15;1,939581E-10
-2,1;2,08887E-10
-2,05;2,236172E-10
-2;2,350926E-10
-1,95;2,490134E-10
-1,9;2,641616E-10
-1,85;2,816146E-10
-1,8;2,951771E-10
-1,75;3,06985E-10
-1,7;3,223548E-10
-1,65;3,421772E-10
-1,6;3,542575E-10
-1,55;3,686117E-10
-1,5;3,837825E-10
-1,45;3,996647E-10
-1,4;4,137679E-10
-1,35;4,270307E-10
-1,3;4,430767E-10
-1,25;4,655396E-10
-1,2;4,803544E-10
-1,15;4,963334E-10
-1,1;5,13131E-10
-1,05;5,34114E-10
-1;5,53377E-10
-0,95;5,699394E-10
-0,9;5,890585E-10
-0,85;6,099447E-10
-0,8;6,311328E-10
-0,75;6,532111E-10
-0,7;6,776844E-10
-0,65;7,032782E-10
-0,6;7,3436E-10
-0,55;7,640534E-10
-0,5;8,134712E-10
-0,45;8,941854E-10
-0,4;1,020518E-09
-0,35;1,206082E-09
-0,3;1,47592E-09
-0,25;1,895184E-09
-0,2;2,74437E-09
-0,15;3,315799E-09
-0,1;4,381622E-09
-0,05;5,605464E-09
0;7,356902E-09
0,05;8,583116E-09
0,1;1,019995E-08
0,15;1,190111E-08
0,2;1,352829E-08
0,25;1,512074E-08
0,3;1,681127E-08
0,35;1,852534E-08
0,4;2,087013E-08
0,45;2,246311E-08
0,5;2,406188E-08
0,55;2,564356E-08
0,6;2,720576E-08
0,65;2,871445E-08
0,7;3,028419E-08
0,75;3,186825E-08
0,8;3,347268E-08
0,85;3,500224E-08
0,9;3,658478E-08
0,95;3,817362E-08
1;3,973944E-08
1,05;4,125619E-08
1,1;4,280672E-08
1,15;4,431737E-08
1,2;4,581474E-08
1,25;4,717856E-08
1,3;4,862465E-08
1,35;5,00426E-08
1,4;5,141542E-08
1,45;5,275924E-08
1,5;5,404643E-08
1,55;5,538915E-08
1,6;5,6674E-08
1,65;5,792597E-08
1,7;5,909488E-08
1,75;6,033357E-08
1,8;6,156782E-08
1,85;6,274675E-08
1,9;6,388296E-08
1,95;6,502245E-08
2;6,61985E-08
2,05;6,73475E-08
2,1;6,839678E-08
2,15;6,946781E-08
2,2;7,063115E-08
2,25;7,168627E-08
2,3;7,267624E-08
2,35;7,3722E-08
2,4;7,479812E-08
2,45;7,575711E-08
2,5;7,679542E-08
2,55;7,77729E-08
2,6;7,879171E-08
2,65;7,97261E-08
2,7;8,061685E-08
2,75;8,154579E-08
2,8;8,248711E-08
2,85;8,339915E-08
2,9;8,422586E-08
2,95;8,510293E-08
3;8,593648E-08
3,05;8,67317E-08
3,1;8,75194E-08
3,15;8,827187E-08
3,2;8,910623E-08
3,25;8,985045E-08
3,3;9,055344E-08
3,35;9,120532E-08
3,4;9,189638E-08
3,45;9,26307E-08
3,5;9,329588E-08
3,55;9,395701E-08
3,6;9,459321E-08
3,65;9,526746E-08
3,7;9,591268E-08
3,75;9,653914E-08
3,8;9,719204E-08
3,85;9,784825E-08
3,9;9,843841E-08
3,95;9,903331E-08
4;9,965186E-08
4,05;1,003037E-07
4,1;1,009508E-07
4,15;1,015253E-07
4,2;1,021146E-07
4,25;1,02689E-07
4,3;1,033244E-07
4,35;1,038673E-07
4,4;1,044536E-07
4,45;1,050484E-07
4,5;1,056372E-07
4,55;1,061953E-07
4,6;1,067101E-07
4,65;1,073066E-07
4,7;1,078659E-07
4,75;1,084226E-07
4,8;1,089316E-07
4,85;1,094837E-07
4,9;1,100299E-07
4,95;1,105293E-07
5;1,109535E-07
