Tensao [V];Corrente [A]
-5;-1,49954E-09
-4,95;-1,464364E-09
-4,9;-1,437614E-09
-4,85;-1,414515E-09
-4,8;-1,396592E-09
-4,75;-1,379172E-09
-4,7;-1,362193E-09
-4,65;-1,343073E-09
-4,6;-1,328314E-09
-4,55;-1,312295E-09
-4,5;-1,299493E-09
-4,45;-1,283823E-09
-4,4;-1,268266E-09
-4,35;-1,255062E-09
-4,3;-1,241404E-09
-4,25;-1,226071E-09
-4,2;-1,209439E-09
-4,15;-1,196036E-09
-4,1;-1,18287E-09
-4,05;-1,166561E-09
-4;-1,148019E-09
-3,95;-1,133605E-09
-3,9;-1,120711E-09
-3,85;-1,102441E-09
-3,8;-1,084622E-09
-3,75;-1,066234E-09
-3,7;-1,0515E-09
-3,65;-1,031009E-09
-3,6;-1,014142E-09
-3,55;-9,969415E-10
-3,5;-9,805193E-10
-3,45;-9,580785E-10
-3,4;-9,359269E-10
-3,35;-9,162796E-10
-3,3;-8,983333E-10
-3,25;-8,779615E-10
-3,2;-8,559415E-10
-3,15;-8,342119E-10
-3,1;-8,157676E-10
-3,05;-7,932834E-10
-3;-7,699513E-10
-2,95;-7,476293E-10
-2,9;-7,271828E-10
-2,85;-7,02555E-10
-2,8;-6,775545E-10
-2,75;-6,553741E-10
-2,7;-6,334263E-10
-2,65;-6,106381E-10
-2,6;-5,809802E-10
-2,55;-5,563089E-10
-2,5;-5,327706E-10
-2,45;-5,03577E-10
-2,4;-4,722909E-10
-2,35;-4,439913E-10
-2,3;-4,137319E-10
-2,25;-3,812313E-10
-2,2;-3,422978E-10
-2,15;-3,014969E-10
-2,1;-2,592991E-10
-2,05;-2,064429E-10
-2;-1,494175E-10
-1,95;-8,259384E-11
-1,9;-1,104176E-11
-1,85;7,284013E-11
-1,8;1,730027E-10
-1,75;2,831474E-10
-1,7;4,010864E-10
-1,65;5,403421E-10
-1,6;6,985861E-10
-1,55;8,784959E-10
-1,5;1,086524E-09
-1,45;1,342613E-09
-1,4;1,665199E-09
-1,35;2,089615E-09
-1,3;2,933398E-09
-1,25;3,418432E-09
-1,2;4,407973E-09
-1,15;5,73743E-09
-1,1;7,459153E-09
-1,05;9,659557E-09
-1;1,239023E-08
-0,95;1,571165E-08
-0,9;2,175742E-08
-0,85;2,698914E-08
-0,8;3,312543E-08
-0,75;4,023161E-08
-0,7;4,82823E-08
-0,65;5,740179E-08
-0,6;6,778674E-08
-0,55;7,967157E-08
-0,5;9,34606E-08
-0,45;1,095125E-07
-0,4;1,279232E-07
-0,35;1,486288E-07
-0,3;1,716981E-07
-0,25;1,969489E-07
-0,2;2,240255E-07
-0,15;2,527406E-07
-0,1;2,825982E-07
-0,05;3,134976E-07
0;3,458321E-07
0,05;3,788749E-07
0,1;4,130642E-07
0,15;4,483143E-07
0,2;4,846525E-07
0,25;5,2207E-07
0,3;5,606728E-07
0,35;6,004635E-07
0,4;6,41373E-07
0,45;6,833765E-07
0,5;7,264131E-07
0,55;7,704712E-07
0,6;8,153515E-07
0,65;8,608343E-07
0,7;9,071111E-07
0,75;9,53648E-07
0,8;1,00036E-06
0,85;1,047162E-06
0,9;1,093768E-06
0,95;1,140088E-06
1;1,18588E-06
1,05;1,231043E-06
1,1;1,275447E-06
1,15;1,319345E-06
1,2;1,362523E-06
1,25;1,405105E-06
1,3;1,447088E-06
1,35;1,488514E-06
1,4;1,529378E-06
1,45;1,569291E-06
1,5;1,608288E-06
1,55;1,646585E-06
1,6;1,684127E-06
1,65;1,72142E-06
1,7;1,75715E-06
1,75;1,792571E-06
1,8;1,827378E-06
1,85;1,861983E-06
1,9;1,896204E-06
1,95;1,929795E-06
2;1,962908E-06
2,05;1,995517E-06
2,1;2,027717E-06
2,15;2,059516E-06
2,2;2,090826E-06
2,25;2,121763E-06
2,3;2,152647E-06
2,35;2,182807E-06
2,4;2,212629E-06
2,45;2,242322E-06
2,5;2,271492E-06
2,55;2,299972E-06
2,6;2,327813E-06
2,65;2,355453E-06
2,7;2,382657E-06
2,75;2,409042E-06
2,8;2,435243E-06
2,85;2,460902E-06
2,9;2,485975E-06
2,95;2,510333E-06
3;2,534539E-06
3,05;2,558208E-06
3,1;2,581439E-06
3,15;2,604417E-06
3,2;2,626895E-06
3,25;2,649186E-06
3,3;2,671413E-06
3,35;2,693479E-06
3,4;2,715054E-06
3,45;2,736994E-06
3,5;2,758784E-06
3,55;2,780522E-06
3,6;2,802173E-06
3,65;2,823649E-06
3,7;2,845126E-06
3,75;2,866488E-06
3,8;2,887762E-06
3,85;2,909013E-06
3,9;2,93E-06
3,95;2,951251E-06
4;2,972038E-06
4,05;2,992949E-06
4,1;3,013634E-06
4,15;3,034057E-06
4,2;3,054483E-06
4,25;3,074779E-06
4,3;3,0945E-06
4,35;3,114512E-06
4,4;3,134144E-06
4,45;3,153492E-06
4,5;3,172662E-06
4,55;3,191493E-06
4,6;3,210224E-06
4,65;3,229057E-06
4,7;3,247489E-06
4,75;3,265406E-06
4,8;3,283424E-06
4,85;3,301077E-06
4,9;3,318294E-06
4,95;3,335385E-06
5;3,352074E-06
