Tensao [V];Corrente [A]
-5;-1,404029E-09
-4,95;-1,367328E-09
-4,9;-1,344192E-09
-4,85;-1,324146E-09
-4,8;-1,302244E-09
-4,75;-1,283141E-09
-4,7;-1,26851E-09
-4,65;-1,249733E-09
-4,6;-1,232786E-09
-4,55;-1,218421E-09
-4,5;-1,202652E-09
-4,45;-1,191932E-09
-4,4;-1,179057E-09
-4,35;-1,162784E-09
-4,3;-1,146964E-09
-4,25;-1,129712E-09
-4,2;-1,118293E-09
-4,15;-1,105342E-09
-4,1;-1,090749E-09
-4,05;-1,080159E-09
-4;-1,06227E-09
-3,95;-1,046172E-09
-3,9;-1,032279E-09
-3,85;-1,016047E-09
-3,8;-9,980602E-10
-3,75;-9,79071E-10
-3,7;-9,655797E-10
-3,65;-9,483377E-10
-3,6;-9,30074E-10
-3,55;-9,113051E-10
-3,5;-8,907387E-10
-3,45;-8,716647E-10
-3,4;-8,505993E-10
-3,35;-8,321588E-10
-3,3;-8,156891E-10
-3,25;-7,983736E-10
-3,2;-7,764892E-10
-3,15;-7,554332E-10
-3,1;-7,358189E-10
-3,05;-7,143359E-10
-3;-6,915336E-10
-2,95;-6,695281E-10
-2,9;-6,480335E-10
-2,85;-6,264337E-10
-2,8;-6,054411E-10
-2,75;-5,836996E-10
-2,7;-5,62005E-10
-2,65;-5,387896E-10
-2,6;-5,139695E-10
-2,55;-4,90584E-10
-2,5;-4,667813E-10
-2,45;-4,441198E-10
-2,4;-4,172833E-10
-2,35;-3,88489E-10
-2,3;-3,581008E-10
-2,25;-3,264798E-10
-2,2;-2,896899E-10
-2,15;-2,511352E-10
-2,1;-2,099081E-10
-2,05;-1,656179E-10
-2;-1,116822E-10
-1,95;-4,88243E-11
-1,9;2,084856E-11
-1,85;9,866313E-11
-1,8;1,879482E-10
-1,75;2,910014E-10
-1,7;4,026533E-10
-1,65;5,289215E-10
-1,6;6,711502E-10
-1,55;8,361307E-10
-1,5;1,029192E-09
-1,45;1,264119E-09
-1,4;1,560858E-09
-1,35;1,949412E-09
-1,3;2,708564E-09
-1,25;3,161606E-09
-1,2;4,066247E-09
-1,15;5,280089E-09
-1,1;6,85103E-09
-1,05;8,855841E-09
-1;1,134756E-08
-0,95;1,436245E-08
-0,9;1,80006E-08
-0,85;2,458349E-08
-0,8;3,017222E-08
-0,75;3,661285E-08
-0,7;4,389295E-08
-0,65;5,212144E-08
-0,6;6,151052E-08
-0,55;7,228816E-08
-0,5;8,47892E-08
-0,45;9,934219E-08
-0,4;1,161005E-07
-0,35;1,350074E-07
-0,3;1,560422E-07
-0,25;1,791304E-07
-0,2;2,040193E-07
-0,15;2,30235E-07
-0,1;2,576743E-07
-0,05;2,860987E-07
0;3,1582E-07
0,05;3,462765E-07
0,1;3,777033E-07
0,15;4,101143E-07
0,2;4,435425E-07
0,25;4,778915E-07
0,3;5,133529E-07
0,35;5,498341E-07
0,4;5,873925E-07
0,45;6,258983E-07
0,5;6,653189E-07
0,55;7,055876E-07
0,6;7,466356E-07
0,65;7,882339E-07
0,7;8,304041E-07
0,75;8,727178E-07
0,8;9,152527E-07
0,85;9,577659E-07
0,9;9,999833E-07
0,95;1,041923E-06
1;1,083221E-06
1,05;1,12396E-06
1,1;1,164043E-06
1,15;1,203511E-06
1,2;1,242453E-06
1,25;1,280855E-06
1,3;1,318719E-06
1,35;1,355972E-06
1,4;1,392717E-06
1,45;1,428538E-06
1,5;1,463603E-06
1,55;1,497854E-06
1,6;1,531483E-06
1,65;1,564495E-06
1,7;1,596844E-06
1,75;1,628782E-06
1,8;1,660124E-06
1,85;1,690954E-06
1,9;1,721305E-06
1,95;1,751176E-06
2;1,780751E-06
2,05;1,809835E-06
2,1;1,838622E-06
2,15;1,866906E-06
2,2;1,894807E-06
2,25;1,922517E-06
2,3;1,949785E-06
2,35;1,976688E-06
2,4;2,003305E-06
2,45;2,029552E-06
2,5;2,05529E-06
2,55;2,080786E-06
2,6;2,105919E-06
2,65;2,130817E-06
2,7;2,154835E-06
2,75;2,178505E-06
2,8;2,20181E-06
2,85;2,224449E-06
2,9;2,246727E-06
2,95;2,268782E-06
3;2,290132E-06
3,05;2,311029E-06
3,1;2,331706E-06
3,15;2,352128E-06
3,2;2,372075E-06
3,25;2,391933E-06
3,3;2,411482E-06
3,35;2,430938E-06
3,4;2,450373E-06
3,45;2,46993E-06
3,5;2,489213E-06
3,55;2,508485E-06
3,6;2,527479E-06
3,65;2,546952E-06
3,7;2,566098E-06
3,75;2,585055E-06
3,8;2,604024E-06
3,85;2,622857E-06
3,9;2,641852E-06
3,95;2,660607E-06
4;2,679152E-06
4,05;2,697871E-06
4,1;2,716439E-06
4,15;2,734874E-06
4,2;2,753052E-06
4,25;2,771207E-06
4,3;2,789387E-06
4,35;2,807331E-06
4,4;2,824758E-06
4,45;2,842201E-06
4,5;2,85983E-06
4,55;2,876706E-06
4,6;2,893673E-06
4,65;2,910362E-06
4,7;2,926851E-06
4,75;2,943204E-06
4,8;2,95899E-06
4,85;2,974965E-06
4,9;2,990678E-06
4,95;3,006151E-06
5;3,02115E-06
