Tensao [V];Corrente [A]
-5;-1,215952E-09
-4,95;-1,181694E-09
-4,9;-1,15561E-09
-4,85;-1,129453E-09
-4,8;-1,106985E-09
-4,75;-1,086058E-09
-4,7;-1,067684E-09
-4,65;-1,053376E-09
-4,6;-1,039785E-09
-4,55;-1,024913E-09
-4,5;-1,011564E-09
-4,45;-9,96854E-10
-4,4;-9,857873E-10
-4,35;-9,728404E-10
-4,3;-9,591307E-10
-4,25;-9,462873E-10
-4,2;-9,331249E-10
-4,15;-9,24388E-10
-4,1;-9,090853E-10
-4,05;-8,928996E-10
-4;-8,769013E-10
-3,95;-8,638927E-10
-3,9;-8,454481E-10
-3,85;-8,295746E-10
-3,8;-8,155034E-10
-3,75;-7,994138E-10
-3,7;-7,833063E-10
-3,65;-7,660181E-10
-3,6;-7,535358E-10
-3,55;-7,379065E-10
-3,5;-7,219266E-10
-3,45;-7,073575E-10
-3,4;-6,897969E-10
-3,35;-6,727102E-10
-3,3;-6,561231E-10
-3,25;-6,390138E-10
-3,2;-6,220486E-10
-3,15;-6,050365E-10
-3,1;-5,877386E-10
-3,05;-5,70111E-10
-3;-5,529033E-10
-2,95;-5,331794E-10
-2,9;-5,176595E-10
-2,85;-4,963563E-10
-2,8;-4,747907E-10
-2,75;-4,554874E-10
-2,7;-4,370364E-10
-2,65;-4,185781E-10
-2,6;-3,976853E-10
-2,55;-3,789115E-10
-2,5;-3,557132E-10
-2,45;-3,373709E-10
-2,4;-3,17508E-10
-2,35;-2,946587E-10
-2,3;-2,697667E-10
-2,25;-2,442229E-10
-2,2;-2,152173E-10
-2,15;-1,830697E-10
-2,1;-1,481169E-10
-2,05;-1,085586E-10
-2;-7,075984E-11
-1,95;-2,428625E-11
-1,9;2,973934E-11
-1,85;9,021187E-11
-1,8;1,567166E-10
-1,75;2,314046E-10
-1,7;3,147752E-10
-1,65;4,072004E-10
-1,6;5,096978E-10
-1,55;6,274665E-10
-1,5;7,650898E-10
-1,45;9,356614E-10
-1,4;1,146969E-09
-1,35;1,426334E-09
-1,3;1,797677E-09
-1,25;2,491973E-09
-1,2;2,951995E-09
-1,15;3,80214E-09
-1,1;4,914621E-09
-1,05;6,313877E-09
-1;8,045045E-09
-0,95;1,015948E-08
-0,9;1,268803E-08
-0,85;1,568152E-08
-0,8;1,921283E-08
-0,75;2,539742E-08
-0,7;3,034635E-08
-0,65;3,595109E-08
-0,6;4,2315E-08
-0,55;4,966966E-08
-0,5;5,823874E-08
-0,45;6,826859E-08
-0,4;7,987973E-08
-0,35;9,311133E-08
-0,3;1,078145E-07
-0,25;1,24049E-07
-0,2;1,416376E-07
-0,15;1,603627E-07
-0,1;1,799384E-07
-0,05;2,00285E-07
0;2,215513E-07
0,05;2,434865E-07
0,1;2,660838E-07
0,15;2,893862E-07
0,2;3,134102E-07
0,25;3,380865E-07
0,3;3,63464E-07
0,35;3,895331E-07
0,4;4,162547E-07
0,45;4,435789E-07
0,5;4,714551E-07
0,55;4,997509E-07
0,6;5,284095E-07
0,65;5,573103E-07
0,7;5,863788E-07
0,75;6,153433E-07
0,8;6,443063E-07
0,85;6,731219E-07
0,9;7,016528E-07
0,95;7,298287E-07
1;7,575703E-07
1,05;7,849097E-07
1,1;8,118501E-07
1,15;8,382833E-07
1,2;8,643715E-07
1,25;8,901391E-07
1,3;9,153997E-07
1,35;9,400973E-07
1,4;9,643708E-07
1,45;9,880674E-07
1,5;1,011173E-06
1,55;1,033768E-06
1,6;1,055892E-06
1,65;1,077542E-06
1,7;1,098845E-06
1,75;1,119624E-06
1,8;1,140059E-06
1,85;1,160248E-06
1,9;1,180106E-06
1,95;1,199634E-06
2;1,218911E-06
2,05;1,237811E-06
2,1;1,256615E-06
2,15;1,275042E-06
2,2;1,29326E-06
2,25;1,311237E-06
2,3;1,329046E-06
2,35;1,346545E-06
2,4;1,363897E-06
2,45;1,380915E-06
2,5;1,39767E-06
2,55;1,41407E-06
2,6;1,430162E-06
2,65;1,445979E-06
2,7;1,46151E-06
2,75;1,476724E-06
2,8;1,491591E-06
2,85;1,506149E-06
2,9;1,520422E-06
2,95;1,534367E-06
3;1,548135E-06
3,05;1,561557E-06
3,1;1,57484E-06
3,15;1,587851E-06
3,2;1,600627E-06
3,25;1,613374E-06
3,3;1,626068E-06
3,35;1,638655E-06
3,4;1,651147E-06
3,45;1,663578E-06
3,5;1,676091E-06
3,55;1,68862E-06
3,6;1,700942E-06
3,65;1,713383E-06
3,7;1,725794E-06
3,75;1,738253E-06
3,8;1,750555E-06
3,85;1,762981E-06
3,9;1,775456E-06
3,95;1,787809E-06
4;1,800045E-06
4,05;1,812293E-06
4,1;1,824524E-06
4,15;1,83672E-06
4,2;1,848806E-06
4,25;1,860833E-06
4,3;1,872716E-06
4,35;1,884601E-06
4,4;1,896335E-06
4,45;1,907934E-06
4,5;1,919562E-06
4,55;1,930986E-06
4,6;1,942302E-06
4,65;1,953458E-06
4,7;1,964438E-06
4,75;1,975351E-06
4,8;1,986146E-06
4,85;1,996677E-06
4,9;2,007213E-06
4,95;2,017554E-06
5;2,027725E-06
