Tensao [V];Corrente [A]
-5;-1,311465E-09
-4,95;-1,277901E-09
-4,9;-1,253591E-09
-4,85;-1,230512E-09
-4,8;-1,209131E-09
-4,75;-1,191744E-09
-4,7;-1,176697E-09
-4,65;-1,160589E-09
-4,6;-1,142142E-09
-4,55;-1,129215E-09
-4,5;-1,117812E-09
-4,45;-1,101322E-09
-4,4;-1,085106E-09
-4,35;-1,070044E-09
-4,3;-1,055607E-09
-4,25;-1,041587E-09
-4,2;-1,02661E-09
-4,15;-1,013379E-09
-4,1;-9,995792E-10
-4,05;-9,834491E-10
-4;-9,678552E-10
-3,95;-9,532579E-10
-3,9;-9,398645E-10
-3,85;-9,234675E-10
-3,8;-9,080228E-10
-3,75;-8,912331E-10
-3,7;-8,744874E-10
-3,65;-8,56978E-10
-3,6;-8,389856E-10
-3,55;-8,244887E-10
-3,5;-8,079363E-10
-3,45;-7,894029E-10
-3,4;-7,701526E-10
-3,35;-7,518776E-10
-3,3;-7,338892E-10
-3,25;-7,138784E-10
-3,2;-6,952485E-10
-3,15;-6,773881E-10
-3,1;-6,597932E-10
-3,05;-6,394894E-10
-3;-6,219567E-10
-2,95;-6,020813E-10
-2,9;-5,839694E-10
-2,85;-5,640415E-10
-2,8;-5,431611E-10
-2,75;-5,230703E-10
-2,7;-5,025769E-10
-2,65;-4,811307E-10
-2,6;-4,591712E-10
-2,55;-4,377105E-10
-2,5;-4,147995E-10
-2,45;-3,913445E-10
-2,4;-3,664276E-10
-2,35;-3,407044E-10
-2,3;-3,131622E-10
-2,25;-2,836121E-10
-2,2;-2,524935E-10
-2,15;-2,175556E-10
-2,1;-1,793406E-10
-2,05;-1,360705E-10
-2;-8,342108E-11
-1,95;-2,743644E-11
-1,9;3,556562E-11
-1,85;1,056221E-10
-1,8;1,8725E-10
-1,75;2,736869E-10
-1,7;3,709435E-10
-1,65;4,815138E-10
-1,6;6,069052E-10
-1,55;7,494894E-10
-1,5;9,165055E-10
-1,45;1,115858E-09
-1,4;1,375589E-09
-1,35;1,714368E-09
-1,3;2,301864E-09
-1,25;2,760205E-09
-1,2;3,550952E-09
-1,15;4,605438E-09
-1,1;5,969624E-09
-1,05;7,696364E-09
-1;9,824579E-09
-0,95;1,240572E-08
-0,9;1,552653E-08
-0,85;2,114573E-08
-0,8;2,586069E-08
-0,75;3,130203E-08
-0,7;3,748321E-08
-0,65;4,442571E-08
-0,6;5,235184E-08
-0,55;6,147157E-08
-0,5;7,208064E-08
-0,45;8,446923E-08
-0,4;9,876083E-08
-0,35;1,149386E-07
-0,3;1,329816E-07
-0,25;1,528281E-07
-0,2;1,742257E-07
-0,15;1,969332E-07
-0,1;2,205992E-07
-0,05;2,452391E-07
0;2,710067E-07
0,05;2,974202E-07
0,1;3,247441E-07
0,15;3,52877E-07
0,2;3,818346E-07
0,25;4,116687E-07
0,3;4,42363E-07
0,35;4,739558E-07
0,4;5,063897E-07
0,45;5,396403E-07
0,5;5,736347E-07
0,55;6,083104E-07
0,6;6,435096E-07
0,65;6,791361E-07
0,7;7,151796E-07
0,75;7,512222E-07
0,8;7,872727E-07
0,85;8,232245E-07
0,9;8,589411E-07
0,95;8,942355E-07
1;9,289859E-07
1,05;9,6324E-07
1,1;9,969433E-07
1,15;1,030201E-06
1,2;1,062919E-06
1,25;1,095205E-06
1,3;1,127006E-06
1,35;1,158226E-06
1,4;1,188909E-06
1,45;1,21879E-06
1,5;1,24798E-06
1,55;1,276644E-06
1,6;1,304629E-06
1,65;1,332092E-06
1,7;1,359039E-06
1,75;1,385641E-06
1,8;1,411694E-06
1,85;1,437277E-06
1,9;1,462443E-06
1,95;1,487361E-06
2;1,511852E-06
2,05;1,535978E-06
2,1;1,559901E-06
2,15;1,583334E-06
2,2;1,606554E-06
2,25;1,629523E-06
2,3;1,652134E-06
2,35;1,674498E-06
2,4;1,696658E-06
2,45;1,718403E-06
2,5;1,739763E-06
2,55;1,760884E-06
2,6;1,781533E-06
2,65;1,801836E-06
2,7;1,8217E-06
2,75;1,841251E-06
2,8;1,860466E-06
2,85;1,879164E-06
2,9;1,897539E-06
2,95;1,915633E-06
3;1,933214E-06
3,05;1,950545E-06
3,1;1,967501E-06
3,15;1,984319E-06
3,2;2,000811E-06
3,25;2,017165E-06
3,3;2,033404E-06
3,35;2,049498E-06
3,4;2,065609E-06
3,45;2,081629E-06
3,5;2,097561E-06
3,55;2,113517E-06
3,6;2,129896E-06
3,65;2,146022E-06
3,7;2,161556E-06
3,75;2,177382E-06
3,8;2,193321E-06
3,85;2,209207E-06
3,9;2,224958E-06
3,95;2,240582E-06
4;2,256068E-06
4,05;2,271554E-06
4,1;2,28728E-06
4,15;2,302666E-06
4,2;2,318028E-06
4,25;2,333014E-06
4,3;2,348163E-06
4,35;2,36326E-06
4,4;2,378009E-06
4,45;2,392617E-06
4,5;2,407115E-06
4,55;2,421597E-06
4,6;2,435833E-06
4,65;2,44994E-06
4,7;2,463723E-06
4,75;2,477457E-06
4,8;2,490812E-06
4,85;2,504133E-06
4,9;2,517538E-06
4,95;2,530381E-06
5;2,543437E-06
