Tensao [V];Corrente [A]
-5;-1,34019E-09
-4,95;-1,307347E-09
-4,9;-1,280607E-09
-4,85;-1,251801E-09
-4,8;-1,228784E-09
-4,75;-1,215008E-09
-4,7;-1,202085E-09
-4,65;-1,187364E-09
-4,6;-1,170005E-09
-4,55;-1,152758E-09
-4,5;-1,140832E-09
-4,45;-1,123301E-09
-4,4;-1,107515E-09
-4,35;-1,093586E-09
-4,3;-1,084656E-09
-4,25;-1,070297E-09
-4,2;-1,053854E-09
-4,15;-1,039372E-09
-4,1;-1,026664E-09
-4,05;-1,014685E-09
-4;-9,963577E-10
-3,95;-9,72865E-10
-3,9;-9,624377E-10
-3,85;-9,504411E-10
-3,8;-9,303602E-10
-3,75;-9,12187E-10
-3,7;-8,976804E-10
-3,65;-8,780366E-10
-3,6;-8,585019E-10
-3,55;-8,439444E-10
-3,5;-8,25911E-10
-3,45;-8,147608E-10
-3,4;-7,934765E-10
-3,35;-7,698434E-10
-3,3;-7,518687E-10
-3,25;-7,381609E-10
-3,2;-7,204515E-10
-3,15;-6,939157E-10
-3,1;-6,771971E-10
-3,05;-6,624011E-10
-3;-6,424356E-10
-2,95;-6,159541E-10
-2,9;-5,989189E-10
-2,85;-5,851721E-10
-2,8;-5,654547E-10
-2,75;-5,420733E-10
-2,7;-5,165749E-10
-2,65;-4,950033E-10
-2,6;-4,750471E-10
-2,55;-4,501585E-10
-2,5;-4,243907E-10
-2,45;-4,029705E-10
-2,4;-3,775475E-10
-2,35;-3,485899E-10
-2,3;-3,204638E-10
-2,25;-2,924599E-10
-2,2;-2,574331E-10
-2,15;-2,159077E-10
-2,1;-1,764949E-10
-2,05;-1,315234E-10
-2;-7,873704E-11
-1,95;-2,228166E-11
-1,9;4,833484E-11
-1,85;1,15294E-10
-1,8;1,973213E-10
-1,75;2,88657E-10
-1,7;3,92948E-10
-1,65;5,174473E-10
-1,6;6,370695E-10
-1,55;7,897415E-10
-1,5;9,692029E-10
-1,45;1,178835E-09
-1,4;1,44319E-09
-1,35;1,796857E-09
-1,3;2,514968E-09
-1,25;2,919333E-09
-1,2;3,753732E-09
-1,15;4,860596E-09
-1,1;6,286346E-09
-1,05;8,098791E-09
-1;1,033883E-08
-0,95;1,304448E-08
-0,9;1,629142E-08
-0,85;2,214471E-08
-0,8;2,706185E-08
-0,75;3,275601E-08
-0,7;3,921326E-08
-0,65;4,642395E-08
-0,6;5,464015E-08
-0,55;6,412159E-08
-0,5;7,515423E-08
-0,45;8,797387E-08
-0,4;1,027462E-07
-0,35;1,194862E-07
-0,3;1,381544E-07
-0,25;1,586219E-07
-0,2;1,807147E-07
-0,15;2,041447E-07
-0,1;2,285001E-07
-0,05;2,538543E-07
0;2,804053E-07
0,05;3,076047E-07
0,1;3,357429E-07
0,15;3,647017E-07
0,2;3,944995E-07
0,25;4,2519E-07
0,3;4,568212E-07
0,35;4,894237E-07
0,4;5,227513E-07
0,45;5,569715E-07
0,5;5,920193E-07
0,55;6,277506E-07
0,6;6,640249E-07
0,65;7,00736E-07
0,7;7,379057E-07
0,75;7,751502E-07
0,8;8,123168E-07
0,85;8,494426E-07
0,9;8,863369E-07
0,95;9,228493E-07
1;9,587425E-07
1,05;9,940737E-07
1,1;1,028877E-06
1,15;1,063221E-06
1,2;1,096931E-06
1,25;1,130159E-06
1,3;1,162932E-06
1,35;1,195249E-06
1,4;1,226986E-06
1,45;1,257699E-06
1,5;1,2879E-06
1,55;1,317452E-06
1,6;1,346387E-06
1,65;1,37467E-06
1,7;1,402415E-06
1,75;1,429866E-06
1,8;1,45678E-06
1,85;1,483059E-06
1,9;1,509057E-06
1,95;1,534752E-06
2;1,559971E-06
2,05;1,58476E-06
2,1;1,609323E-06
2,15;1,633559E-06
2,2;1,657397E-06
2,25;1,681005E-06
2,3;1,704182E-06
2,35;1,727239E-06
2,4;1,750037E-06
2,45;1,772374E-06
2,5;1,794337E-06
2,55;1,815895E-06
2,6;1,837276E-06
2,65;1,858044E-06
2,7;1,87844E-06
2,75;1,89841E-06
2,8;1,918234E-06
2,85;1,937458E-06
2,9;1,956212E-06
2,95;1,974612E-06
3;1,992875E-06
3,05;2,010717E-06
3,1;2,028025E-06
3,15;2,04517E-06
3,2;2,062145E-06
3,25;2,07889E-06
3,3;2,09546E-06
3,35;2,111905E-06
3,4;2,128533E-06
3,45;2,144972E-06
3,5;2,161186E-06
3,55;2,177486E-06
3,6;2,193852E-06
3,65;2,210014E-06
3,7;2,226266E-06
3,75;2,24224E-06
3,8;2,258329E-06
3,85;2,274843E-06
3,9;2,290768E-06
3,95;2,306367E-06
4;2,322406E-06
4,05;2,338332E-06
4,1;2,354194E-06
4,15;2,369731E-06
4,2;2,385279E-06
4,25;2,400605E-06
4,3;2,416203E-06
4,35;2,431376E-06
4,4;2,446261E-06
4,45;2,461235E-06
4,5;2,475984E-06
4,55;2,490705E-06
4,6;2,505039E-06
4,65;2,519134E-06
4,7;2,533369E-06
4,75;2,547238E-06
4,8;2,560733E-06
4,85;2,574329E-06
4,9;2,587898E-06
4,95;2,601017E-06
5;2,613897E-06
