Tensao [V];Corrente [A]
-5;-8,744815E-10
-4,95;-8,376739E-10
-4,9;-8,116334E-10
-4,85;-7,894836E-10
-4,8;-7,682605E-10
-4,75;-7,50792E-10
-4,7;-7,356378E-10
-4,65;-7,192795E-10
-4,6;-7,037463E-10
-4,55;-6,914251E-10
-4,5;-6,782986E-10
-4,45;-6,656513E-10
-4,4;-6,519479E-10
-4,35;-6,39058E-10
-4,3;-6,292101E-10
-4,25;-6,164174E-10
-4,2;-6,052797E-10
-4,15;-5,944916E-10
-4,1;-5,835452E-10
-4,05;-5,702898E-10
-4;-5,565275E-10
-3,95;-5,452298E-10
-3,9;-5,322088E-10
-3,85;-5,218593E-10
-3,8;-5,07542E-10
-3,75;-4,954419E-10
-3,7;-4,85009E-10
-3,65;-4,745334E-10
-3,6;-4,622051E-10
-3,55;-4,492865E-10
-3,5;-4,406862E-10
-3,45;-4,2879E-10
-3,4;-4,169565E-10
-3,35;-4,047356E-10
-3,3;-3,948336E-10
-3,25;-3,83956E-10
-3,2;-3,716371E-10
-3,15;-3,583902E-10
-3,1;-3,442711E-10
-3,05;-3,311351E-10
-3;-3,17797E-10
-2,95;-3,064601E-10
-2,9;-2,953394E-10
-2,85;-2,843704E-10
-2,8;-2,70445E-10
-2,75;-2,590375E-10
-2,7;-2,46318E-10
-2,65;-2,342858E-10
-2,6;-2,192168E-10
-2,55;-2,039494E-10
-2,5;-1,915958E-10
-2,45;-1,776786E-10
-2,4;-1,629066E-10
-2,35;-1,47458E-10
-2,3;-1,340091E-10
-2,25;-1,175688E-10
-2,2;-9,895761E-11
-2,15;-7,994854E-11
-2,1;-6,186714E-11
-2,05;-4,30786E-11
-2;-2,166577E-11
-1,95;3,393984E-12
-1,9;2,881906E-11
-1,85;5,664175E-11
-1,8;8,475772E-11
-1,75;1,158306E-10
-1,7;1,505702E-10
-1,65;1,889529E-10
-1,6;2,298848E-10
-1,55;2,759314E-10
-1,5;3,27868E-10
-1,45;3,859727E-10
-1,4;4,627602E-10
-1,35;5,635157E-10
-1,3;6,916154E-10
-1,25;8,623883E-10
-1,2;1,087499E-09
-1,15;1,381808E-09
-1,1;1,750026E-09
-1,05;2,245623E-09
-1;2,769345E-09
-0,95;3,467897E-09
-0,9;4,303267E-09
-0,85;5,274523E-09
-0,8;6,39447E-09
-0,75;7,686217E-09
-0,7;9,163597E-09
-0,65;1,084769E-08
-0,6;1,276571E-08
-0,55;1,498271E-08
-0,5;1,758334E-08
-0,45;2,217763E-08
-0,4;2,604018E-08
-0,35;3,043538E-08
-0,3;3,540556E-08
-0,25;4,088011E-08
-0,2;4,686358E-08
-0,15;5,327547E-08
-0,1;6,006135E-08
-0,05;6,716413E-08
0;7,463655E-08
0,05;8,234658E-08
0,1;9,03073E-08
0,15;9,849634E-08
0,2;1,069337E-07
0,25;1,155365E-07
0,3;1,242876E-07
0,35;1,331494E-07
0,4;1,421215E-07
0,45;1,511577E-07
0,5;1,60231E-07
0,55;1,693217E-07
0,6;1,784531E-07
0,65;1,875726E-07
0,7;1,967107E-07
0,75;2,05773E-07
0,8;2,147267E-07
0,85;2,237486E-07
0,9;2,3263E-07
0,95;2,414089E-07
1;2,500809E-07
1,05;2,586112E-07
1,1;2,669753E-07
1,15;2,751727E-07
1,2;2,832361E-07
1,25;2,911048E-07
1,3;2,987717E-07
1,35;3,062817E-07
1,4;3,1364E-07
1,45;3,208258E-07
1,5;3,278024E-07
1,55;3,346498E-07
1,6;3,413602E-07
1,65;3,479331E-07
1,7;3,543662E-07
1,75;3,606882E-07
1,8;3,668931E-07
1,85;3,730323E-07
1,9;3,789771E-07
1,95;3,848852E-07
2;3,907487E-07
2,05;3,965185E-07
2,1;4,022396E-07
2,15;4,078566E-07
2,2;4,134303E-07
2,25;4,188898E-07
2,3;4,242798E-07
2,35;4,296085E-07
2,4;4,348735E-07
2,45;4,400243E-07
2,5;4,450749E-07
2,55;4,500073E-07
2,6;4,548839E-07
2,65;4,596771E-07
2,7;4,643363E-07
2,75;4,689301E-07
2,8;4,735016E-07
2,85;4,779159E-07
2,9;4,822806E-07
2,95;4,865304E-07
3;4,907226E-07
3,05;4,94871E-07
3,1;4,989756E-07
3,15;5,029963E-07
3,2;5,069712E-07
3,25;5,109177E-07
3,3;5,148374E-07
3,35;5,187464E-07
3,4;5,226179E-07
3,45;5,264795E-07
3,5;5,303855E-07
3,55;5,342345E-07
3,6;5,381095E-07
3,65;5,42023E-07
3,7;5,459007E-07
3,75;5,49777E-07
3,8;5,536232E-07
3,85;5,575349E-07
3,9;5,613911E-07
3,95;5,652744E-07
4;5,691422E-07
4,05;5,730138E-07
4,1;5,768762E-07
4,15;5,807367E-07
4,2;5,845668E-07
4,25;5,883498E-07
4,3;5,92136E-07
4,35;5,958159E-07
4,4;5,994974E-07
4,45;6,031928E-07
4,5;6,068819E-07
4,55;6,098813E-07
4,6;6,142778E-07
4,65;6,179238E-07
4,7;6,215829E-07
4,75;6,251196E-07
4,8;6,28632E-07
4,85;6,320818E-07
4,9;6,355367E-07
4,95;6,389411E-07
5;6,423171E-07
