Tensao [V];Corrente [A]
-5;-1,204619E-09
-4,95;-1,170958E-09
-4,9;-1,143518E-09
-4,85;-1,11999E-09
-4,8;-1,101279E-09
-4,75;-1,083534E-09
-4,7;-1,070558E-09
-4,65;-1,055656E-09
-4,6;-1,040212E-09
-4,55;-1,020565E-09
-4,5;-1,008891E-09
-4,45;-9,966239E-10
-4,4;-9,798158E-10
-4,35;-9,652276E-10
-4,3;-9,53415E-10
-4,25;-9,376789E-10
-4,2;-9,230378E-10
-4,15;-9,076271E-10
-4,1;-8,959223E-10
-4,05;-8,814512E-10
-4;-8,682667E-10
-3,95;-8,560622E-10
-3,9;-8,398198E-10
-3,85;-8,230004E-10
-3,8;-8,076723E-10
-3,75;-7,920141E-10
-3,7;-7,776527E-10
-3,65;-7,577508E-10
-3,6;-7,447573E-10
-3,55;-7,270887E-10
-3,5;-7,058806E-10
-3,45;-6,891311E-10
-3,4;-6,736087E-10
-3,35;-6,622361E-10
-3,3;-6,429091E-10
-3,25;-6,278386E-10
-3,2;-6,067354E-10
-3,15;-5,943939E-10
-3,1;-5,792264E-10
-3,05;-5,583537E-10
-3;-5,400418E-10
-2,95;-5,257502E-10
-2,9;-5,085589E-10
-2,85;-4,903563E-10
-2,8;-4,712303E-10
-2,75;-4,557324E-10
-2,7;-4,352378E-10
-2,65;-4,150569E-10
-2,6;-3,936848E-10
-2,55;-3,72291E-10
-2,5;-3,549854E-10
-2,45;-3,328338E-10
-2,4;-3,108593E-10
-2,35;-2,886926E-10
-2,3;-2,629702E-10
-2,25;-2,39272E-10
-2,2;-2,090466E-10
-2,15;-1,828783E-10
-2,1;-1,443168E-10
-2,05;-1,077798E-10
-2;-6,417448E-11
-1,95;-1,558311E-11
-1,9;3,450372E-11
-1,85;9,577442E-11
-1,8;1,621459E-10
-1,75;2,338746E-10
-1,7;3,149322E-10
-1,65;4,073889E-10
-1,6;5,130679E-10
-1,55;6,301767E-10
-1,5;7,684355E-10
-1,45;9,39324E-10
-1,4;1,151244E-09
-1,35;1,424526E-09
-1,3;1,795355E-09
-1,25;2,461845E-09
-1,2;2,941222E-09
-1,15;3,791581E-09
-1,1;4,902114E-09
-1,05;6,29675E-09
-1;8,021458E-09
-0,95;1,013435E-08
-0,9;1,266251E-08
-0,85;1,565179E-08
-0,8;1,917403E-08
-0,75;2,534155E-08
-0,7;3,028711E-08
-0,65;3,588185E-08
-0,6;4,22542E-08
-0,55;4,958558E-08
-0,5;5,812691E-08
-0,45;6,816765E-08
-0,4;7,980214E-08
-0,35;9,296553E-08
-0,3;1,076896E-07
-0,25;1,239464E-07
-0,2;1,415578E-07
-0,15;1,602457E-07
-0,1;1,79811E-07
-0,05;2,001595E-07
0;2,214593E-07
0,05;2,43363E-07
0,1;2,659368E-07
0,15;2,89324E-07
0,2;3,133205E-07
0,25;3,379924E-07
0,3;3,633911E-07
0,35;3,894322E-07
0,4;4,161846E-07
0,45;4,434965E-07
0,5;4,713847E-07
0,55;4,997366E-07
0,6;5,284113E-07
0,65;5,573148E-07
0,7;5,863408E-07
0,75;6,153934E-07
0,8;6,443723E-07
0,85;6,732213E-07
0,9;7,017534E-07
0,95;7,299457E-07
1;7,577704E-07
1,05;7,851322E-07
1,1;8,120337E-07
1,15;8,385872E-07
1,2;8,64722E-07
1,25;8,904835E-07
1,3;9,15756E-07
1,35;9,405375E-07
1,4;9,648857E-07
1,45;9,885915E-07
1,5;1,011728E-06
1,55;1,034361E-06
1,6;1,056615E-06
1,65;1,078325E-06
1,7;1,09961E-06
1,75;1,120533E-06
1,8;1,140982E-06
1,85;1,161203E-06
1,9;1,181051E-06
1,95;1,200654E-06
2;1,219943E-06
2,05;1,238986E-06
2,1;1,257775E-06
2,15;1,276258E-06
2,2;1,29456E-06
2,25;1,312748E-06
2,3;1,330624E-06
2,35;1,34822E-06
2,4;1,36554E-06
2,45;1,38263E-06
2,5;1,399326E-06
2,55;1,415846E-06
2,6;1,432087E-06
2,65;1,448045E-06
2,7;1,463529E-06
2,75;1,478821E-06
2,8;1,493824E-06
2,85;1,508576E-06
2,9;1,522862E-06
2,95;1,536877E-06
3;1,550626E-06
3,05;1,564133E-06
3,1;1,577466E-06
3,15;1,590518E-06
3,2;1,603412E-06
3,25;1,616245E-06
3,3;1,628951E-06
3,35;1,641595E-06
3,4;1,654177E-06
3,45;1,666868E-06
3,5;1,679454E-06
3,55;1,691869E-06
3,6;1,704333E-06
3,65;1,716907E-06
3,7;1,729463E-06
3,75;1,741879E-06
3,8;1,754337E-06
3,85;1,766814E-06
3,9;1,779323E-06
3,95;1,791727E-06
4;1,804099E-06
4,05;1,816502E-06
4,1;1,828824E-06
4,15;1,841023E-06
4,2;1,853304E-06
4,25;1,865404E-06
4,3;1,877441E-06
4,35;1,889342E-06
4,4;1,901149E-06
4,45;1,912881E-06
4,5;1,924559E-06
4,55;1,936057E-06
4,6;1,947505E-06
4,65;1,958665E-06
4,7;1,969853E-06
4,75;1,980861E-06
4,8;1,991662E-06
4,85;2,002355E-06
4,9;2,013033E-06
4,95;2,023454E-06
5;2,033684E-06
