beta,R0,R1,R2,R3,R4,R5
21.2,97,,,,,
21.3,98,,,,,
21.4,95,,,,,
21.5,99,,,,,
21.6,107,,,,,
21.7,107,,,,,
21.8,92,,,,,
21.9,100,,,,,
22,113,,,,,
22.1,103,,,,,
22.2,94,,,,,
22.3,92,,,,,
22.4,90,,,,,
22.5,115,,,,,
22.6,95,,,,,
22.7,102,,,,,
22.8,96,,,,,
22.9,107,,,,,
23,107,,,,,
23.1,97,,,,,
23.2,92,,,,,
23.3,112,,,,,
23.4,104,,,,,
23.5,96,,,,,
23.6,89,,,,,
23.7,83,,,,,
23.8,96,,,,,
23.9,113,,,,,
24,97,,,,,
24.1,92,,,,,
24.2,104,,,,,
24.3,85,,,,,
24.4,107,,,,,
24.5,99,,,,,
24.6,88,,,,,
24.7,116,,,,,
24.8,110,,,,,
24.9,99,,,,,
25,101,,,,,
25.1,94,,,,,
25.2,127,,,,,
25.3,106,,,,,
25.4,94,,,,,
25.5,123,,,,,
25.6,101,,,,,
25.7,103,,,,,
25.8,97,,,,,
25.9,101,,,,,
26,127,,,,,
26.1,92,,,,,
26.2,105,,,,,
26.3,104,,,,,
26.4,102,,,,,
26.5,111,,,,,
26.6,86,,,,,
26.7,97,,,,,
26.8,112,,,,,
26.9,116,,,,,
27,100,,,,,
27.1,111,,,,,
27.2,114,,,,,
27.3,104,,,,,
27.4,119,,,,,
27.5,113,,,,,
27.6,99,,,,,
27.7,103,,,,,
27.8,107,,,,,
27.9,96,,,,,
28,100,,,,,
28.1,108,,,,,
28.2,91,,,,,
28.3,104,,,,,
28.4,88,,,,,
28.5,98,,,,,
28.6,116,,,,,
28.7,103,,,,,
28.8,100,,,,,
28.9,117,,,,,
29,91,,,,,
29.1,99,,,,,
29.2,111,,,,,
29.3,109,,,,,
29.4,89,,,,,
29.5,116,,,,,
29.6,108,,,,,
29.7,97,,,,,
29.8,94,,,,,
29.9,97,,,,,
30,105,,,,,
