beta,R0,R1,R2,R3,R4,R5
21.2,28,,,,,
21.3,30,,,,,
21.4,38,,,,,
21.5,30,,,,,
21.6,47,,,,,
21.7,33,,,,,
21.8,36,,,,,
21.9,59,,,,,
22,94,,,,,
22.1,155,,,,,
22.2,202,,,,,
22.3,184,,,,,
22.4,87,,,,,
22.5,51,,,,,
22.6,32,,,,,
22.7,35,,,,,
22.8,24,,,,,
22.9,29,,,,,
23,23,,,,,
23.1,21,,,,,
23.2,26,,,,,
23.3,31,,,,,
23.4,22,,,,,
23.5,29,,,,,
23.6,33,,,,,
23.7,19,,,,,
23.8,19,,,,,
23.9,30,,,,,
24,16,,,,,
24.1,24,,,,,
24.2,23,,,,,
24.3,18,,,,,
24.4,18,,,,,
24.5,25,,,,,
24.6,26,,,,,
24.7,30,,,,,
24.8,19,,,,,
24.9,16,,,,,
25,16,,,,,
25.1,27,,,,,
25.2,20,,,,,
25.3,16,,,,,
25.4,14,,,,,
25.5,17,,,,,
25.6,17,,,,,
25.7,19,,,,,
25.8,15,,,,,
25.9,14,,,,,
26,22,,,,,
26.1,23,,,,,
26.2,20,,,,,
26.3,22,,,,,
26.4,16,,,,,
26.5,18,,,,,
26.6,27,,,,,
26.7,44,,,,,
26.8,19,,,,,
26.9,20,,,,,
27,16,,,,,
27.1,17,,,,,
27.2,20,,,,,
27.3,24,,,,,
27.4,22,,,,,
27.5,17,,,,,
27.6,19,,,,,
27.7,21,,,,,
27.8,17,,,,,
27.9,19,,,,,
28,16,,,,,
28.1,17,,,,,
28.2,17,,,,,
28.3,11,,,,,
28.4,18,,,,,
28.5,18,,,,,
28.6,18,,,,,
28.7,13,,,,,
28.8,16,,,,,
28.9,11,,,,,
29,15,,,,,
29.1,22,,,,,
29.2,17,,,,,
29.3,17,,,,,
29.4,10,,,,,
29.5,20,,,,,
29.6,17,,,,,
29.7,17,,,,,
29.8,11,,,,,
29.9,20,,,,,
30,15,,,,,
