Tensao [V];Corrente [A]
-5;-2,048006E-10
-4,95;-1,793621E-10
-4,9;-1,601207E-10
-4,85;-1,441773E-10
-4,8;-1,31113E-10
-4,75;-1,174637E-10
-4,7;-1,077123E-10
-4,65;-9,843162E-11
-4,6;-8,876654E-11
-4,55;-7,868126E-11
-4,5;-6,718299E-11
-4,45;-5,814496E-11
-4,4;-4,823837E-11
-4,35;-3,949114E-11
-4,3;-3,073649E-11
-4,25;-2,181307E-11
-4,2;-1,485099E-11
-4,15;-5,278301E-12
-4,1;2,623873E-12
-4,05;8,558628E-12
-4;1,42827E-11
-3,95;2,375589E-11
-3,9;3,327095E-11
-3,85;4,110924E-11
-3,8;4,767845E-11
-3,75;5,699888E-11
-3,7;6,537919E-11
-3,65;7,369923E-11
-3,6;7,92607E-11
-3,55;8,683899E-11
-3,5;9,491876E-11
-3,45;1,023554E-10
-3,4;1,091957E-10
-3,35;1,160729E-10
-3,3;1,252405E-10
-3,25;1,333351E-10
-3,2;1,413347E-10
-3,15;1,512896E-10
-3,1;1,585266E-10
-3,05;1,656355E-10
-3;1,737226E-10
-2,95;1,822447E-10
-2,9;1,927343E-10
-2,85;1,999442E-10
-2,8;2,066255E-10
-2,75;2,138036E-10
-2,7;2,226127E-10
-2,65;2,313515E-10
-2,6;2,395743E-10
-2,55;2,474516E-10
-2,5;2,562462E-10
-2,45;2,639403E-10
-2,4;2,725671E-10
-2,35;2,7983E-10
-2,3;2,896493E-10
-2,25;2,975801E-10
-2,2;3,065567E-10
-2,15;3,152377E-10
-2,1;3,25805E-10
-2,05;3,352645E-10
-2;3,438331E-10
-1,95;3,50602E-10
-1,9;3,612521E-10
-1,85;3,694387E-10
-1,8;3,790118E-10
-1,75;3,880697E-10
-1,7;3,974483E-10
-1,65;4,06203E-10
-1,6;4,161442E-10
-1,55;4,255287E-10
-1,5;4,370609E-10
-1,45;4,455569E-10
-1,4;4,560112E-10
-1,35;4,639005E-10
-1,3;4,733138E-10
-1,25;4,831996E-10
-1,2;4,937929E-10
-1,15;5,032017E-10
-1,1;5,135194E-10
-1,05;5,228221E-10
-1;5,339822E-10
-0,95;5,458911E-10
-0,9;5,575055E-10
-0,85;5,682489E-10
-0,8;5,810694E-10
-0,75;5,886823E-10
-0,7;6,033967E-10
-0,65;6,143244E-10
-0,6;6,277762E-10
-0,55;6,383511E-10
-0,5;6,539459E-10
-0,45;6,729072E-10
-0,4;7,00884E-10
-0,35;7,385041E-10
-0,3;7,974197E-10
-0,25;8,855094E-10
-0,2;1,045248E-09
-0,15;1,316669E-09
-0,1;1,717915E-09
-0,05;2,470436E-09
0;3,216977E-09
0,05;3,835593E-09
0,1;4,585647E-09
0,15;5,442781E-09
0,2;6,269482E-09
0,25;7,02746E-09
0,3;7,764923E-09
0,35;8,544609E-09
0,4;9,282292E-09
0,45;9,947659E-09
0,5;1,059198E-08
0,55;1,128262E-08
0,6;1,19649E-08
0,65;1,259656E-08
0,7;1,322674E-08
0,75;1,389883E-08
0,8;1,457875E-08
0,85;1,522482E-08
0,9;1,586997E-08
0,95;1,656271E-08
1;1,726541E-08
1,05;1,794267E-08
1,1;1,860718E-08
1,15;1,930154E-08
1,2;2,000104E-08
1,25;2,09677E-08
1,3;2,163012E-08
1,35;2,230698E-08
1,4;2,295674E-08
1,45;2,363222E-08
1,5;2,427893E-08
1,55;2,492E-08
1,6;2,556848E-08
1,65;2,618957E-08
1,7;2,681191E-08
1,75;2,740748E-08
1,8;2,799164E-08
1,85;2,858482E-08
1,9;2,916143E-08
1,95;2,972901E-08
2;3,027682E-08
2,05;3,081486E-08
2,1;3,135913E-08
2,15;3,187961E-08
2,2;3,24096E-08
2,25;3,291646E-08
2,3;3,345122E-08
2,35;3,393675E-08
2,4;3,445969E-08
2,45;3,493449E-08
2,5;3,541727E-08
2,55;3,587588E-08
2,6;3,629993E-08
2,65;3,675428E-08
2,7;3,721557E-08
2,75;3,763796E-08
2,8;3,807397E-08
2,85;3,8486E-08
2,9;3,89053E-08
2,95;3,930484E-08
3;3,969434E-08
3,05;4,008639E-08
3,1;4,045666E-08
3,15;4,081348E-08
3,2;4,116196E-08
3,25;4,148801E-08
3,3;4,182135E-08
3,35;4,215395E-08
3,4;4,247538E-08
3,45;4,280571E-08
3,5;4,309808E-08
3,55;4,339359E-08
3,6;4,367629E-08
3,65;4,39442E-08
3,7;4,423007E-08
3,75;4,451213E-08
3,8;4,479134E-08
3,85;4,506749E-08
3,9;4,535224E-08
3,95;4,562816E-08
4;4,589053E-08
4,05;4,617382E-08
4,1;4,644604E-08
4,15;4,670133E-08
4,2;4,695226E-08
4,25;4,719915E-08
4,3;4,745863E-08
4,35;4,771983E-08
4,4;4,797495E-08
4,45;4,82419E-08
4,5;4,849346E-08
4,55;4,873685E-08
4,6;4,896742E-08
4,65;4,920879E-08
4,7;4,94312E-08
4,75;4,967749E-08
4,8;4,989593E-08
4,85;5,013014E-08
4,9;5,035483E-08
4,95;5,058694E-08
5;5,080303E-08
