Tensao [V];Corrente [A]
-5;-2,481745E-10
-4,95;-2,223692E-10
-4,9;-2,013598E-10
-4,85;-1,871387E-10
-4,8;-1,755923E-10
-4,75;-1,635974E-10
-4,7;-1,504876E-10
-4,65;-1,414312E-10
-4,6;-1,340687E-10
-4,55;-1,244602E-10
-4,5;-1,126206E-10
-4,45;-1,042183E-10
-4,4;-9,670193E-11
-4,35;-8,891925E-11
-4,3;-7,666696E-11
-4,25;-6,856039E-11
-4,2;-6,090716E-11
-4,15;-5,330443E-11
-4,1;-4,400403E-11
-4,05;-3,535407E-11
-4;-2,603393E-11
-3,95;-1,636884E-11
-3,9;-6,28239E-12
-3,85;1,704768E-12
-3,8;7,085105E-12
-3,75;1,469051E-11
-3,7;2,584421E-11
-3,65;3,577077E-11
-3,6;4,269979E-11
-3,55;4,913477E-11
-3,5;5,68683E-11
-3,45;6,61222E-11
-3,4;7,26311E-11
-3,35;7,926195E-11
-3,3;8,767918E-11
-3,25;9,682598E-11
-3,2;1,032215E-10
-3,15;1,115477E-10
-3,1;1,213806E-10
-3,05;1,297905E-10
-3;1,360481E-10
-2,95;1,423278E-10
-2,9;1,492124E-10
-2,85;1,593238E-10
-2,8;1,671646E-10
-2,75;1,754007E-10
-2,7;1,832871E-10
-2,65;1,937607E-10
-2,6;2,010001E-10
-2,55;2,074979E-10
-2,5;2,146747E-10
-2,45;2,24467E-10
-2,4;2,309734E-10
-2,35;2,394239E-10
-2,3;2,488638E-10
-2,25;2,589407E-10
-2,2;2,666409E-10
-2,15;2,751631E-10
-2,1;2,850884E-10
-2,05;2,966485E-10
-2;3,051695E-10
-1,95;3,135042E-10
-1,9;3,2144E-10
-1,85;3,313874E-10
-1,8;3,414866E-10
-1,75;3,505557E-10
-1,7;3,589445E-10
-1,65;3,682761E-10
-1,6;3,766061E-10
-1,55;3,837199E-10
-1,5;3,954412E-10
-1,45;4,06414E-10
-1,4;4,174541E-10
-1,35;4,266259E-10
-1,3;4,357463E-10
-1,25;4,453195E-10
-1,2;4,559383E-10
-1,15;4,652833E-10
-1,1;4,761117E-10
-1,05;4,87772E-10
-1;4,984638E-10
-0,95;5,089718E-10
-0,9;5,176455E-10
-0,85;5,299435E-10
-0,8;5,431772E-10
-0,75;5,561903E-10
-0,7;5,66964E-10
-0,65;5,791074E-10
-0,6;5,953034E-10
-0,55;6,075677E-10
-0,5;6,243823E-10
-0,45;6,457073E-10
-0,4;6,771522E-10
-0,35;7,227448E-10
-0,3;7,924532E-10
-0,25;9,078119E-10
-0,2;1,123402E-09
-0,15;1,468148E-09
-0,1;1,989959E-09
-0,05;3,077892E-09
0;4,032854E-09
0,05;4,788046E-09
0,1;5,825334E-09
0,15;6,958605E-09
0,2;7,999487E-09
0,25;8,99179E-09
0,3;1,000279E-08
0,35;1,105982E-08
0,4;1,202088E-08
0,45;1,290573E-08
0,5;1,380668E-08
0,55;1,474218E-08
0,6;1,564182E-08
0,65;1,648214E-08
0,7;1,734838E-08
0,75;1,82604E-08
0,8;1,916056E-08
0,85;2,001849E-08
0,9;2,134679E-08
0,95;2,226593E-08
1;2,315466E-08
1,05;2,405565E-08
1,1;2,498146E-08
1,15;2,588991E-08
1,2;2,679457E-08
1,25;2,770554E-08
1,3;2,861687E-08
1,35;2,951676E-08
1,4;3,039341E-08
1,45;3,12594E-08
1,5;3,210037E-08
1,55;3,295805E-08
1,6;3,378533E-08
1,65;3,461514E-08
1,7;3,54203E-08
1,75;3,623312E-08
1,8;3,699958E-08
1,85;3,775547E-08
1,9;3,849001E-08
1,95;3,922757E-08
2;3,995349E-08
2,05;4,06561E-08
2,1;4,136512E-08
2,15;4,206964E-08
2,2;4,274113E-08
2,25;4,341019E-08
2,3;4,404048E-08
2,35;4,471344E-08
2,4;4,534884E-08
2,45;4,597885E-08
2,5;4,657142E-08
2,55;4,718721E-08
2,6;4,778431E-08
2,65;4,834308E-08
2,7;4,891603E-08
2,75;4,947532E-08
2,8;5,001596E-08
2,85;5,050941E-08
2,9;5,098876E-08
2,95;5,151096E-08
3;5,200688E-08
3,05;5,246813E-08
3,1;5,290664E-08
3,15;5,331263E-08
3,2;5,36871E-08
3,25;5,396941E-08
3,3;5,423168E-08
3,35;5,45131E-08
3,4;5,489871E-08
3,45;5,526565E-08
3,5;5,561364E-08
3,55;5,598884E-08
3,6;5,635144E-08
3,65;5,671937E-08
3,7;5,706745E-08
3,75;5,743158E-08
3,8;5,779536E-08
3,85;5,813716E-08
3,9;5,845133E-08
3,95;5,877689E-08
4;5,913776E-08
4,05;5,947438E-08
4,1;5,983711E-08
4,15;6,014546E-08
4,2;6,048723E-08
4,25;6,078005E-08
4,3;6,110479E-08
4,35;6,144426E-08
4,4;6,174797E-08
4,45;6,20601E-08
4,5;6,232335E-08
4,55;6,263053E-08
4,6;6,296329E-08
4,65;6,326834E-08
4,7;6,355243E-08
4,75;6,383251E-08
4,8;6,412703E-08
4,85;6,442315E-08
4,9;6,469448E-08
4,95;6,49728E-08
5;6,527007E-08
