Tensao [V];Corrente [A]
-5;-4,33287E-10
-4,95;-4,083008E-10
-4,9;-3,876552E-10
-4,85;-3,701998E-10
-4,8;-3,578625E-10
-4,75;-3,457986E-10
-4,7;-3,369708E-10
-4,65;-3,24345E-10
-4,6;-3,156425E-10
-4,55;-3,036773E-10
-4,5;-2,92163E-10
-4,45;-2,7728E-10
-4,4;-2,645968E-10
-4,35;-2,536249E-10
-4,3;-2,543135E-10
-4,25;-2,448826E-10
-4,2;-2,413417E-10
-4,15;-2,316004E-10
-4,1;-2,179609E-10
-4,05;-2,062532E-10
-4;-1,927626E-10
-3,95;-1,790787E-10
-3,9;-1,680018E-10
-3,85;-1,586179E-10
-3,8;-1,500178E-10
-3,75;-1,43878E-10
-3,7;-1,378801E-10
-3,65;-1,314631E-10
-3,6;-1,211516E-10
-3,55;-1,147E-10
-3,5;-1,057216E-10
-3,45;-9,726679E-11
-3,4;-8,702285E-11
-3,35;-8,099045E-11
-3,3;-7,208463E-11
-3,25;-6,313322E-11
-3,2;-5,503201E-11
-3,15;-4,700349E-11
-3,1;-3,714155E-11
-3,05;-2,879392E-11
-3;-1,753845E-11
-2,95;-7,524966E-12
-2,9;3,784821E-12
-2,85;1,240132E-11
-2,8;2,505931E-11
-2,75;3,20198E-11
-2,7;3,932774E-11
-2,65;4,682912E-11
-2,6;5,891783E-11
-2,55;6,829221E-11
-2,5;7,908218E-11
-2,45;8,83246E-11
-2,4;9,935994E-11
-2,35;1,107118E-10
-2,3;1,185829E-10
-2,25;1,253806E-10
-2,2;1,402405E-10
-2,15;1,501076E-10
-2,1;1,640617E-10
-2,05;1,724134E-10
-2;1,868519E-10
-1,95;1,956742E-10
-1,9;2,050151E-10
-1,85;2,176719E-10
-1,8;2,313835E-10
-1,75;2,42118E-10
-1,7;2,538397E-10
-1,65;2,621519E-10
-1,6;2,722727E-10
-1,55;2,838462E-10
-1,5;2,948077E-10
-1,45;3,08449E-10
-1,4;3,216984E-10
-1,35;3,33871E-10
-1,3;3,481885E-10
-1,25;3,596785E-10
-1,2;3,749895E-10
-1,15;3,893822E-10
-1,1;4,029828E-10
-1,05;4,146983E-10
-1;4,292234E-10
-0,95;4,471117E-10
-0,9;4,591904E-10
-0,85;4,704828E-10
-0,8;4,906491E-10
-0,75;5,044797E-10
-0,7;5,224631E-10
-0,65;5,383778E-10
-0,6;5,557351E-10
-0,55;5,779708E-10
-0,5;5,980713E-10
-0,45;6,280282E-10
-0,4;6,740599E-10
-0,35;7,58703E-10
-0,3;8,909505E-10
-0,25;1,109909E-09
-0,2;1,486264E-09
-0,15;2,401444E-09
-0,1;3,000054E-09
-0,05;4,190833E-09
0;5,838839E-09
0,05;7,085558E-09
0,1;8,605051E-09
0,15;1,031492E-08
0,2;1,223822E-08
0,25;1,407001E-08
0,3;1,586914E-08
0,35;1,775256E-08
0,4;2,066862E-08
0,45;2,267443E-08
0,5;2,467108E-08
0,55;2,681988E-08
0,6;2,889102E-08
0,65;3,104561E-08
0,7;3,319142E-08
0,75;3,539198E-08
0,8;3,755713E-08
0,85;3,965365E-08
0,9;4,184293E-08
0,95;4,401099E-08
1;4,61833E-08
1,05;4,831188E-08
1,1;5,037136E-08
1,15;5,249725E-08
1,2;5,445806E-08
1,25;5,646955E-08
1,3;5,82759E-08
1,35;6,024089E-08
1,4;6,199974E-08
1,45;6,375147E-08
1,5;6,543687E-08
1,55;6,71685E-08
1,6;6,88208E-08
1,65;7,028726E-08
1,7;7,191609E-08
1,75;7,336659E-08
1,8;7,482073E-08
1,85;7,627101E-08
1,9;7,763308E-08
1,95;7,89808E-08
2;8,035779E-08
2,05;8,171504E-08
2,1;8,297508E-08
2,15;8,430604E-08
2,2;8,559768E-08
2,25;8,683224E-08
2,3;8,800589E-08
2,35;8,918322E-08
2,4;9,039709E-08
2,45;9,162191E-08
2,5;9,269863E-08
2,55;9,388762E-08
2,6;9,495623E-08
2,65;9,625098E-08
2,7;9,712701E-08
2,75;9,815821E-08
2,8;9,931991E-08
2,85;1,002964E-07
2,9;1,013165E-07
2,95;1,022493E-07
3;1,033375E-07
3,05;1,042455E-07
3,1;1,050823E-07
3,15;1,060638E-07
3,2;1,068779E-07
3,25;1,078583E-07
3,3;1,086792E-07
3,35;1,094262E-07
3,4;1,103358E-07
3,45;1,110777E-07
3,5;1,119578E-07
3,55;1,126645E-07
3,6;1,133803E-07
3,65;1,142049E-07
3,7;1,148968E-07
3,75;1,155312E-07
3,8;1,16306E-07
3,85;1,170818E-07
3,9;1,177916E-07
3,95;1,184158E-07
4;1,192027E-07
4,05;1,200619E-07
4,1;1,207791E-07
4,15;1,214541E-07
4,2;1,220951E-07
4,25;1,228746E-07
4,3;1,235165E-07
4,35;1,241905E-07
4,4;1,249223E-07
4,45;1,256313E-07
4,5;1,264164E-07
4,55;1,270417E-07
4,6;1,276832E-07
4,65;1,283802E-07
4,7;1,29174E-07
4,75;1,296845E-07
4,8;1,303276E-07
4,85;1,309876E-07
4,9;1,316574E-07
4,95;1,323488E-07
5;1,328103E-07
