Tensao [V];Corrente [A]
-5;-4,504934E-10
-4,95;-4,221412E-10
-4,9;-4,015725E-10
-4,85;-3,80034E-10
-4,8;-3,647277E-10
-4,75;-3,53785E-10
-4,7;-3,428024E-10
-4,65;-3,300832E-10
-4,6;-3,168295E-10
-4,55;-3,086113E-10
-4,5;-3,028856E-10
-4,45;-2,905314E-10
-4,4;-2,807387E-10
-4,35;-2,691298E-10
-4,3;-2,611492E-10
-4,25;-2,514944E-10
-4,2;-2,392682E-10
-4,15;-2,323463E-10
-4,1;-2,221544E-10
-4,05;-2,146359E-10
-4;-2,051279E-10
-3,95;-1,946068E-10
-3,9;-1,86045E-10
-3,85;-1,77292E-10
-3,8;-1,674304E-10
-3,75;-1,599563E-10
-3,7;-1,50511E-10
-3,65;-1,424382E-10
-3,6;-1,335695E-10
-3,55;-1,215934E-10
-3,5;-1,149979E-10
-3,45;-1,066566E-10
-3,4;-9,559969E-11
-3,35;-8,574642E-11
-3,3;-7,73176E-11
-3,25;-7,118045E-11
-3,2;-6,150596E-11
-3,15;-5,001409E-11
-3,1;-4,243173E-11
-3,05;-3,26229E-11
-3;-2,195902E-11
-2,95;-1,216745E-11
-2,9;-4,434734E-12
-2,85;5,262108E-12
-2,8;1,730509E-11
-2,75;2,744932E-11
-2,7;3,918303E-11
-2,65;4,926199E-11
-2,6;5,875812E-11
-2,55;6,985232E-11
-2,5;8,000642E-11
-2,45;8,620161E-11
-2,4;9,954088E-11
-2,35;1,089397E-10
-2,3;1,207571E-10
-2,25;1,299921E-10
-2,2;1,398738E-10
-2,15;1,528298E-10
-2,1;1,634595E-10
-2,05;1,736655E-10
-2;1,829335E-10
-1,95;1,943741E-10
-1,9;2,073632E-10
-1,85;2,183466E-10
-1,8;2,311326E-10
-1,75;2,447848E-10
-1,7;2,553626E-10
-1,65;2,659577E-10
-1,6;2,779417E-10
-1,55;2,866616E-10
-1,5;3,022581E-10
-1,45;3,146891E-10
-1,4;3,267617E-10
-1,35;3,410471E-10
-1,3;3,549384E-10
-1,25;3,671921E-10
-1,2;3,811693E-10
-1,15;3,971581E-10
-1,1;4,103159E-10
-1,05;4,216962E-10
-1;4,398356E-10
-0,95;4,532056E-10
-0,9;4,678239E-10
-0,85;4,856579E-10
-0,8;4,995376E-10
-0,75;5,162016E-10
-0,7;5,306447E-10
-0,65;5,486541E-10
-0,6;5,686526E-10
-0,55;5,90083E-10
-0,5;6,163746E-10
-0,45;6,469986E-10
-0,4;6,967459E-10
-0,35;7,815669E-10
-0,3;9,295427E-10
-0,25;1,168293E-09
-0,2;1,554768E-09
-0,15;2,519373E-09
-0,1;3,122071E-09
-0,05;4,390885E-09
0;6,194281E-09
0,05;7,557519E-09
0,1;9,185574E-09
0,15;1,092313E-08
0,2;1,290193E-08
0,25;1,498194E-08
0,3;1,692471E-08
0,35;1,886982E-08
0,4;2,1989E-08
0,45;2,415651E-08
0,5;2,630304E-08
0,55;2,85648E-08
0,6;3,085469E-08
0,65;3,311743E-08
0,7;3,540645E-08
0,75;3,769131E-08
0,8;4,011241E-08
0,85;4,22856E-08
0,9;4,450785E-08
0,95;4,674909E-08
1;4,904933E-08
1,05;5,134097E-08
1,1;5,354064E-08
1,15;5,572427E-08
1,2;5,788887E-08
1,25;5,996509E-08
1,3;6,196058E-08
1,35;6,396749E-08
1,4;6,583919E-08
1,45;6,775223E-08
1,5;6,955025E-08
1,55;7,133518E-08
1,6;7,294361E-08
1,65;7,469786E-08
1,7;7,628352E-08
1,75;7,792649E-08
1,8;7,945647E-08
1,85;8,101409E-08
1,9;8,243719E-08
1,95;8,38595E-08
2;8,532911E-08
2,05;8,662856E-08
2,1;8,811384E-08
2,15;8,939384E-08
2,2;9,075471E-08
2,25;9,202493E-08
2,3;9,33826E-08
2,35;9,453957E-08
2,4;9,586564E-08
2,45;9,71346E-08
2,5;9,830774E-08
2,55;9,951157E-08
2,6;1,007259E-07
2,65;1,01793E-07
2,7;1,03026E-07
2,75;1,040331E-07
2,8;1,052275E-07
2,85;1,062786E-07
2,9;1,073146E-07
2,95;1,084735E-07
3;1,093395E-07
3,05;1,104662E-07
3,1;1,114206E-07
3,15;1,123022E-07
3,2;1,13366E-07
3,25;1,141097E-07
3,3;1,150944E-07
3,35;1,159962E-07
3,4;1,16915E-07
3,45;1,176337E-07
3,5;1,186236E-07
3,55;1,193864E-07
3,6;1,201087E-07
3,65;1,209593E-07
3,7;1,21773E-07
3,75;1,225505E-07
3,8;1,233717E-07
3,85;1,242027E-07
3,9;1,249418E-07
3,95;1,256373E-07
4;1,263445E-07
4,05;1,27156E-07
4,1;1,278928E-07
4,15;1,287457E-07
4,2;1,294062E-07
4,25;1,302335E-07
4,3;1,309556E-07
4,35;1,316673E-07
4,4;1,324116E-07
4,45;1,330915E-07
4,5;1,340232E-07
4,55;1,346099E-07
4,6;1,35324E-07
4,65;1,360505E-07
4,7;1,367331E-07
4,75;1,375154E-07
4,8;1,380858E-07
4,85;1,387995E-07
4,9;1,394739E-07
4,95;1,401485E-07
5;1,408987E-07
