Tensao [V];Corrente [A]
-5;-1,017043E-09
-4,95;-9,845457E-10
-4,9;-9,598237E-10
-4,85;-9,398613E-10
-4,8;-9,210282E-10
-4,75;-9,03861E-10
-4,7;-8,899999E-10
-4,65;-8,76161E-10
-4,6;-8,633655E-10
-4,55;-8,498902E-10
-4,5;-8,368042E-10
-4,45;-8,250083E-10
-4,4;-8,138855E-10
-4,35;-8,007625E-10
-4,3;-7,892464E-10
-4,25;-7,781389E-10
-4,2;-7,657996E-10
-4,15;-7,532032E-10
-4,1;-7,416032E-10
-4,05;-7,318943E-10
-4;-7,208323E-10
-3,95;-7,076153E-10
-3,9;-6,957752E-10
-3,85;-6,842075E-10
-3,8;-6,731787E-10
-3,75;-6,600602E-10
-3,7;-6,490954E-10
-3,65;-6,387131E-10
-3,6;-6,290549E-10
-3,55;-6,188766E-10
-3,5;-6,075378E-10
-3,45;-5,965294E-10
-3,4;-5,853938E-10
-3,35;-5,707069E-10
-3,3;-5,570809E-10
-3,25;-5,455374E-10
-3,2;-5,332885E-10
-3,15;-5,189665E-10
-3,1;-5,050336E-10
-3,05;-4,911465E-10
-3;-4,762854E-10
-2,95;-4,579858E-10
-2,9;-4,413193E-10
-2,85;-4,246187E-10
-2,8;-4,063063E-10
-2,75;-3,852809E-10
-2,7;-3,623818E-10
-2,65;-3,430197E-10
-2,6;-3,220019E-10
-2,55;-2,987355E-10
-2,5;-2,743192E-10
-2,45;-2,519931E-10
-2,4;-2,289953E-10
-2,35;-2,020624E-10
-2,3;-1,752623E-10
-2,25;-1,511027E-10
-2,2;-1,27569E-10
-2,15;-1,000272E-10
-2,1;-7,158117E-11
-2,05;-4,618452E-11
-2;-1,990202E-11
-1,95;9,337755E-12
-1,9;4,025991E-11
-1,85;7,072132E-11
-1,8;9,940598E-11
-1,75;1,335649E-10
-1,7;1,712501E-10
-1,65;2,084831E-10
-1,6;2,480498E-10
-1,55;2,927616E-10
-1,5;3,451141E-10
-1,45;4,029748E-10
-1,4;4,686583E-10
-1,35;5,478436E-10
-1,3;6,40902E-10
-1,25;7,539392E-10
-1,2;8,835158E-10
-1,15;1,044626E-09
-1,1;1,2465E-09
-1,05;1,510646E-09
-1;1,867841E-09
-0,95;2,516348E-09
-0,9;3,120951E-09
-0,85;4,194319E-09
-0,8;5,745059E-09
-0,75;7,946757E-09
-0,7;1,098815E-08
-0,65;1,515459E-08
-0,6;2,390309E-08
-0,55;3,250876E-08
-0,5;4,336743E-08
-0,45;5,640424E-08
-0,4;7,141471E-08
-0,35;8,808263E-08
-0,3;1,061825E-07
-0,25;1,25694E-07
-0,2;1,465707E-07
-0,15;1,687471E-07
-0,1;1,921188E-07
-0,05;2,167327E-07
0;2,428111E-07
0,05;2,697052E-07
0,1;2,975924E-07
0,15;3,264516E-07
0,2;3,56075E-07
0,25;3,864705E-07
0,3;4,175111E-07
0,35;4,491212E-07
0,4;4,813724E-07
0,45;5,140813E-07
0,5;5,473012E-07
0,55;5,810101E-07
0,6;6,15229E-07
0,65;6,500357E-07
0,7;6,855512E-07
0,75;7,215692E-07
0,8;7,580875E-07
0,85;7,951353E-07
0,9;8,326056E-07
0,95;8,70387E-07
1;9,082748E-07
1,05;9,460738E-07
1,1;9,836904E-07
1,15;1,021243E-06
1,2;1,058636E-06
1,25;1,095812E-06
1,3;1,132705E-06
1,35;1,169367E-06
1,4;1,205817E-06
1,45;1,241784E-06
1,5;1,277116E-06
1,55;1,312104E-06
1,6;1,346417E-06
1,65;1,380205E-06
1,7;1,413365E-06
1,75;1,445966E-06
1,8;1,478068E-06
1,85;1,509442E-06
1,9;1,540142E-06
1,95;1,570284E-06
2;1,599839E-06
2,05;1,62876E-06
2,1;1,657005E-06
2,15;1,684466E-06
2,2;1,711297E-06
2,25;1,737413E-06
2,3;1,762717E-06
2,35;1,787365E-06
2,4;1,811469E-06
2,45;1,834779E-06
2,5;1,857355E-06
2,55;1,879348E-06
2,6;1,900661E-06
2,65;1,921405E-06
2,7;1,941386E-06
2,75;1,9608E-06
2,8;1,979766E-06
2,85;1,997913E-06
2,9;2,015567E-06
2,95;2,032612E-06
3;2,049158E-06
3,05;2,065215E-06
3,1;2,080644E-06
3,15;2,095781E-06
3,2;2,110834E-06
3,25;2,125293E-06
3,3;2,13939E-06
3,35;2,15331E-06
3,4;2,166729E-06
3,45;2,180313E-06
3,5;2,193695E-06
3,55;2,20704E-06
3,6;2,220196E-06
3,65;2,233438E-06
3,7;2,246497E-06
3,75;2,259665E-06
3,8;2,272559E-06
3,85;2,285451E-06
3,9;2,298786E-06
3,95;2,311779E-06
4;2,324673E-06
4,05;2,337577E-06
4,1;2,350396E-06
4,15;2,363126E-06
4,2;2,375734E-06
4,25;2,388236E-06
4,3;2,40058E-06
4,35;2,41276E-06
4,4;2,424938E-06
4,45;2,436904E-06
4,5;2,448859E-06
4,55;2,46036E-06
4,6;2,471787E-06
4,65;2,483039E-06
4,7;2,494329E-06
4,75;2,505306E-06
4,8;2,51593E-06
4,85;2,52632E-06
4,9;2,536781E-06
4,95;2,546994E-06
5;2,557044E-06
