Tensao [V];Corrente [A]
-5;-1,405415E-09
-4,95;-1,372326E-09
-4,9;-1,34624E-09
-4,85;-1,325799E-09
-4,8;-1,305894E-09
-4,75;-1,289016E-09
-4,7;-1,275602E-09
-4,65;-1,261056E-09
-4,6;-1,245596E-09
-4,55;-1,23216E-09
-4,5;-1,219239E-09
-4,45;-1,203848E-09
-4,4;-1,188799E-09
-4,35;-1,175897E-09
-4,3;-1,163726E-09
-4,25;-1,150989E-09
-4,2;-1,137558E-09
-4,15;-1,124565E-09
-4,1;-1,112254E-09
-4,05;-1,098692E-09
-4;-1,08363E-09
-3,95;-1,069734E-09
-3,9;-1,057015E-09
-3,85;-1,045635E-09
-3,8;-1,033173E-09
-3,75;-1,022213E-09
-3,7;-1,009615E-09
-3,65;-9,961922E-10
-3,6;-9,833933E-10
-3,55;-9,696208E-10
-3,5;-9,566447E-10
-3,45;-9,436736E-10
-3,4;-9,276873E-10
-3,35;-9,140975E-10
-3,3;-9,02672E-10
-3,25;-8,894016E-10
-3,2;-8,737088E-10
-3,15;-8,579957E-10
-3,1;-8,435361E-10
-3,05;-8,29059E-10
-3;-8,124167E-10
-2,95;-7,973438E-10
-2,9;-7,824053E-10
-2,85;-7,685357E-10
-2,8;-7,488883E-10
-2,75;-7,302251E-10
-2,7;-7,116445E-10
-2,65;-6,903934E-10
-2,6;-6,697707E-10
-2,55;-6,459194E-10
-2,5;-6,244839E-10
-2,45;-6,021314E-10
-2,4;-5,76918E-10
-2,35;-5,472602E-10
-2,3;-5,18069E-10
-2,25;-4,857572E-10
-2,2;-4,514855E-10
-2,15;-4,139027E-10
-2,1;-3,795925E-10
-2,05;-3,402431E-10
-2;-2,970129E-10
-1,95;-2,524027E-10
-1,9;-2,049378E-10
-1,85;-1,551861E-10
-1,8;-9,628171E-11
-1,75;-3,773942E-11
-1,7;2,1677E-11
-1,65;8,993228E-11
-1,6;1,684547E-10
-1,55;2,616303E-10
-1,5;3,690207E-10
-1,45;4,821276E-10
-1,4;6,353085E-10
-1,35;8,377331E-10
-1,3;1,082183E-09
-1,25;1,375998E-09
-1,2;1,735306E-09
-1,15;2,337812E-09
-1,1;2,740681E-09
-1,05;3,489376E-09
-1;4,543094E-09
-0,95;6,055503E-09
-0,9;8,222618E-09
-0,85;1,132352E-08
-0,8;1,566545E-08
-0,75;2,494244E-08
-0,7;3,442694E-08
-0,65;4,739423E-08
-0,6;6,453759E-08
-0,55;8,596E-08
-0,5;1,118434E-07
-0,45;1,417648E-07
-0,4;1,751084E-07
-0,35;2,113337E-07
-0,3;2,507595E-07
-0,25;2,932387E-07
-0,2;3,385411E-07
-0,15;3,863825E-07
-0,1;4,367461E-07
-0,05;4,894632E-07
0;5,450166E-07
0,05;6,021943E-07
0,1;6,614897E-07
0,15;7,228593E-07
0,2;7,86198E-07
0,25;8,513181E-07
0,3;9,182786E-07
0,35;9,871013E-07
0,4;1,05794E-06
0,45;1,130593E-06
0,5;1,205103E-06
0,55;1,281562E-06
0,6;1,36005E-06
0,65;1,440446E-06
0,7;1,523089E-06
0,75;1,607318E-06
0,8;1,693394E-06
0,85;1,781088E-06
0,9;1,869992E-06
0,95;1,959954E-06
1;2,051035E-06
1,05;2,143295E-06
1,1;2,235742E-06
1,15;2,328213E-06
1,2;2,420496E-06
1,25;2,513281E-06
1,3;2,605288E-06
1,35;2,696909E-06
1,4;2,788489E-06
1,45;2,879031E-06
1,5;2,968945E-06
1,55;3,058283E-06
1,6;3,147007E-06
1,65;3,235734E-06
1,7;3,323455E-06
1,75;3,410575E-06
1,8;3,496832E-06
1,85;3,582823E-06
1,9;3,667978E-06
1,95;3,752144E-06
2;3,835607E-06
2,05;3,918227E-06
2,1;4,000612E-06
2,15;4,08143E-06
2,2;4,16126E-06
2,25;4,240336E-06
2,3;4,318549E-06
2,35;4,395381E-06
2,4;4,470785E-06
2,45;4,54505E-06
2,5;4,617977E-06
2,55;4,689482E-06
2,6;4,758964E-06
2,65;4,826876E-06
2,7;4,89307E-06
2,75;4,957944E-06
2,8;5,020828E-06
2,85;5,081498E-06
2,9;5,141041E-06
2,95;5,198549E-06
3;5,254396E-06
3,05;5,308769E-06
3,1;5,362029E-06
3,15;5,414139E-06
3,2;5,464866E-06
3,25;5,514619E-06
3,3;5,563687E-06
3,35;5,612318E-06
3,4;5,659881E-06
3,45;5,707094E-06
3,5;5,754041E-06
3,55;5,80057E-06
3,6;5,84675E-06
3,65;5,892532E-06
3,7;5,938345E-06
3,75;5,983666E-06
3,8;6,0287E-06
3,85;6,073177E-06
3,9;6,11774E-06
3,95;6,161682E-06
4;6,205438E-06
4,05;6,248225E-06
4,1;6,291152E-06
4,15;6,33314E-06
4,2;6,375119E-06
4,25;6,415853E-06
4,3;6,455791E-06
4,35;6,495452E-06
4,4;6,534503E-06
4,45;6,5726E-06
4,5;6,610268E-06
4,55;6,647183E-06
4,6;6,683266E-06
4,65;6,718399E-06
4,7;6,753066E-06
4,75;6,786839E-06
4,8;6,820102E-06
4,85;6,852719E-06
4,9;6,884986E-06
4,95;6,916125E-06
5;6,946656E-06
