Tensao [V];Corrente [A]
-5;-1,641268E-09
-4,95;-1,609655E-09
-4,9;-1,582239E-09
-4,85;-1,558992E-09
-4,8;-1,541637E-09
-4,75;-1,526029E-09
-4,7;-1,511413E-09
-4,65;-1,493523E-09
-4,6;-1,478067E-09
-4,55;-1,464953E-09
-4,5;-1,451159E-09
-4,45;-1,437274E-09
-4,4;-1,423913E-09
-4,35;-1,411101E-09
-4,3;-1,396119E-09
-4,25;-1,381733E-09
-4,2;-1,367965E-09
-4,15;-1,354896E-09
-4,1;-1,341552E-09
-4,05;-1,328292E-09
-4;-1,315318E-09
-3,95;-1,302017E-09
-3,9;-1,288425E-09
-3,85;-1,274462E-09
-3,8;-1,259461E-09
-3,75;-1,24637E-09
-3,7;-1,232544E-09
-3,65;-1,216813E-09
-3,6;-1,205207E-09
-3,55;-1,191547E-09
-3,5;-1,177057E-09
-3,45;-1,162085E-09
-3,4;-1,148307E-09
-3,35;-1,134754E-09
-3,3;-1,121229E-09
-3,25;-1,103578E-09
-3,2;-1,09002E-09
-3,15;-1,075169E-09
-3,1;-1,059455E-09
-3,05;-1,045454E-09
-3;-1,031209E-09
-2,95;-1,014136E-09
-2,9;-9,967307E-10
-2,85;-9,793795E-10
-2,8;-9,61759E-10
-2,75;-9,454484E-10
-2,7;-9,2664E-10
-2,65;-9,063354E-10
-2,6;-8,854948E-10
-2,55;-8,64756E-10
-2,5;-8,421135E-10
-2,45;-8,173525E-10
-2,4;-7,933812E-10
-2,35;-7,672128E-10
-2,3;-7,383453E-10
-2,25;-7,082663E-10
-2,2;-6,76907E-10
-2,15;-6,475401E-10
-2,1;-6,14867E-10
-2,05;-5,751281E-10
-2;-5,319769E-10
-1,95;-4,919011E-10
-1,9;-4,429422E-10
-1,85;-3,909021E-10
-1,8;-3,368795E-10
-1,75;-2,765947E-10
-1,7;-2,066223E-10
-1,65;-1,224381E-10
-1,6;-3,176117E-11
-1,55;7,668653E-11
-1,5;2,17349E-10
-1,45;3,921352E-10
-1,4;6,016597E-10
-1,35;8,570111E-10
-1,3;1,185208E-09
-1,25;1,595679E-09
-1,2;2,094757E-09
-1,15;2,973931E-09
-1,1;3,539922E-09
-1,05;4,605653E-09
-1;6,128834E-09
-0,95;8,301241E-09
-0,9;1,139522E-08
-0,85;1,575544E-08
-0,8;2,508665E-08
-0,75;3,474499E-08
-0,7;4,788674E-08
-0,65;6,564315E-08
-0,6;8,849997E-08
-0,55;1,16616E-07
-0,5;1,497807E-07
-0,45;1,873346E-07
-0,4;2,285401E-07
-0,35;2,736175E-07
-0,3;3,224391E-07
-0,25;3,750064E-07
-0,2;4,309888E-07
-0,15;4,901441E-07
-0,1;5,521946E-07
-0,05;6,171706E-07
0;6,855669E-07
0,05;7,56038E-07
0,1;8,290025E-07
0,15;9,044051E-07
0,2;9,823283E-07
0,25;1,062549E-06
0,3;1,145059E-06
0,35;1,230028E-06
0,4;1,317588E-06
0,45;1,407604E-06
0,5;1,500159E-06
0,55;1,595343E-06
0,6;1,693166E-06
0,65;1,793522E-06
0,7;1,896921E-06
0,75;2,002341E-06
0,8;2,110179E-06
0,85;2,220381E-06
0,9;2,331733E-06
0,95;2,444777E-06
1;2,558972E-06
1,05;2,674485E-06
1,1;2,790825E-06
1,15;2,907829E-06
1,2;3,025233E-06
1,25;3,142864E-06
1,3;3,260619E-06
1,35;3,378186E-06
1,4;3,495917E-06
1,45;3,612432E-06
1,5;3,728699E-06
1,55;3,843798E-06
1,6;3,958654E-06
1,65;4,073193E-06
1,7;4,186862E-06
1,75;4,300448E-06
1,8;4,413048E-06
1,85;4,526022E-06
1,9;4,637913E-06
1,95;4,749364E-06
2;4,860477E-06
2,05;4,971182E-06
2,1;5,081639E-06
2,15;5,191341E-06
2,2;5,300414E-06
2,25;5,40837E-06
2,3;5,515351E-06
2,35;5,620939E-06
2,4;5,725792E-06
2,45;5,828732E-06
2,5;5,930133E-06
2,55;6,029772E-06
2,6;6,127897E-06
2,65;6,223976E-06
2,7;6,317886E-06
2,75;6,409896E-06
2,8;6,500151E-06
2,85;6,588421E-06
2,9;6,674674E-06
2,95;6,758886E-06
3;6,841271E-06
3,05;6,922096E-06
3,1;7,000798E-06
3,15;7,078325E-06
3,2;7,154553E-06
3,25;7,229193E-06
3,3;7,303044E-06
3,35;7,375733E-06
3,4;7,447642E-06
3,45;7,51871E-06
3,5;7,589832E-06
3,55;7,660244E-06
3,6;7,730287E-06
3,65;7,800498E-06
3,7;7,870408E-06
3,75;7,940049E-06
3,8;8,009336E-06
3,85;8,078679E-06
3,9;8,147354E-06
3,95;8,215623E-06
4;8,283791E-06
4,05;8,351818E-06
4,1;8,419505E-06
4,15;8,486929E-06
4,2;8,553423E-06
4,25;8,619866E-06
4,3;8,685833E-06
4,35;8,750904E-06
4,4;8,815177E-06
4,45;8,878809E-06
4,5;8,941734E-06
4,55;9,003532E-06
4,6;9,064599E-06
4,65;9,12437E-06
4,7;9,182794E-06
4,75;9,240684E-06
4,8;9,296912E-06
4,85;9,352308E-06
4,9;9,40681E-06
4,95;9,460089E-06
5;9,511828E-06
