Tensao [V];Corrente [A]
-5;-1,421772E-09
-4,95;-1,388259E-09
-4,9;-1,36077E-09
-4,85;-1,338288E-09
-4,8;-1,31873E-09
-4,75;-1,303128E-09
-4,7;-1,287164E-09
-4,65;-1,270587E-09
-4,6;-1,259189E-09
-4,55;-1,247169E-09
-4,5;-1,233438E-09
-4,45;-1,217981E-09
-4,4;-1,203555E-09
-4,35;-1,190213E-09
-4,3;-1,178463E-09
-4,25;-1,163652E-09
-4,2;-1,15139E-09
-4,15;-1,138418E-09
-4,1;-1,125036E-09
-4,05;-1,109543E-09
-4;-1,098482E-09
-3,95;-1,087333E-09
-3,9;-1,072897E-09
-3,85;-1,058251E-09
-3,8;-1,047761E-09
-3,75;-1,035252E-09
-3,7;-1,02235E-09
-3,65;-1,009628E-09
-3,6;-9,97837E-10
-3,55;-9,857922E-10
-3,5;-9,714606E-10
-3,45;-9,577185E-10
-3,4;-9,451483E-10
-3,35;-9,339017E-10
-3,3;-9,182188E-10
-3,25;-9,029867E-10
-3,2;-8,895636E-10
-3,15;-8,761962E-10
-3,1;-8,625399E-10
-3,05;-8,48251E-10
-3;-8,34297E-10
-2,95;-8,185618E-10
-2,9;-8,017367E-10
-2,85;-7,847834E-10
-2,8;-7,678227E-10
-2,75;-7,488979E-10
-2,7;-7,298628E-10
-2,65;-7,081997E-10
-2,6;-6,889553E-10
-2,55;-6,674768E-10
-2,5;-6,445181E-10
-2,45;-6,184013E-10
-2,4;-5,930605E-10
-2,35;-5,67271E-10
-2,3;-5,388142E-10
-2,25;-5,060954E-10
-2,2;-4,717135E-10
-2,15;-4,387609E-10
-2,1;-4,038459E-10
-2,05;-3,61793E-10
-2;-3,205673E-10
-1,95;-2,760578E-10
-1,9;-2,310027E-10
-1,85;-1,795322E-10
-1,8;-1,247278E-10
-1,75;-6,747653E-11
-1,7;-8,524993E-12
-1,65;6,248652E-11
-1,6;1,444392E-10
-1,55;2,361491E-10
-1,5;3,421708E-10
-1,45;4,7831E-10
-1,4;6,424833E-10
-1,35;8,40105E-10
-1,3;1,074905E-09
-1,25;1,371624E-09
-1,2;1,735844E-09
-1,15;2,389989E-09
-1,1;2,765584E-09
-1,05;3,517551E-09
-1;4,591054E-09
-0,95;6,130584E-09
-0,9;8,339328E-09
-0,85;1,148826E-08
-0,8;1,590274E-08
-0,75;2,532475E-08
-0,7;3,497317E-08
-0,65;4,812207E-08
-0,6;6,545973E-08
-0,55;8,721104E-08
-0,5;1,134049E-07
-0,45;1,436529E-07
-0,4;1,773185E-07
-0,35;2,139672E-07
-0,3;2,537761E-07
-0,25;2,966731E-07
-0,2;3,424299E-07
-0,15;3,907864E-07
-0,1;4,416352E-07
-0,05;4,948479E-07
0;5,509564E-07
0,05;6,087425E-07
0,1;6,686084E-07
0,15;7,305337E-07
0,2;7,944328E-07
0,25;8,602158E-07
0,3;9,278219E-07
0,35;9,973151E-07
0,4;1,068801E-06
0,45;1,142143E-06
0,5;1,217402E-06
0,55;1,294608E-06
0,6;1,373828E-06
0,65;1,454982E-06
0,7;1,53847E-06
0,75;1,623656E-06
0,8;1,71051E-06
0,85;1,799021E-06
0,9;1,888826E-06
0,95;1,97975E-06
1;2,071575E-06
1,05;2,164716E-06
1,1;2,25819E-06
1,15;2,351502E-06
1,2;2,445137E-06
1,25;2,538599E-06
1,3;2,631735E-06
1,35;2,724207E-06
1,4;2,816803E-06
1,45;2,90832E-06
1,5;2,999178E-06
1,55;3,089769E-06
1,6;3,179459E-06
1,65;3,268685E-06
1,7;3,357638E-06
1,75;3,445723E-06
1,8;3,533069E-06
1,85;3,619904E-06
1,9;3,706209E-06
1,95;3,79145E-06
2;3,875828E-06
2,05;3,959503E-06
2,1;4,042877E-06
2,15;4,12471E-06
2,2;4,20558E-06
2,25;4,285735E-06
2,3;4,364746E-06
2,35;4,442458E-06
2,4;4,518944E-06
2,45;4,594297E-06
2,5;4,668101E-06
2,55;4,740361E-06
2,6;4,810905E-06
2,65;4,879907E-06
2,7;4,947253E-06
2,75;5,012616E-06
2,8;5,076417E-06
2,85;5,138331E-06
2,9;5,198584E-06
2,95;5,256987E-06
3;5,313858E-06
3,05;5,369252E-06
3,1;5,422933E-06
3,15;5,475633E-06
3,2;5,527016E-06
3,25;5,577804E-06
3,3;5,627635E-06
3,35;5,676387E-06
3,4;5,725185E-06
3,45;5,772959E-06
3,5;5,820848E-06
3,55;5,868291E-06
3,6;5,915039E-06
3,65;5,961626E-06
3,7;6,008022E-06
3,75;6,054222E-06
3,8;6,09987E-06
3,85;6,145388E-06
3,9;6,190499E-06
3,95;6,235239E-06
4;6,279726E-06
4,05;6,323559E-06
4,1;6,366755E-06
4,15;6,409643E-06
4,2;6,452198E-06
4,25;6,494006E-06
4,3;6,534935E-06
4,35;6,575031E-06
4,4;6,614751E-06
4,45;6,653553E-06
4,5;6,691783E-06
4,55;6,72968E-06
4,6;6,766035E-06
4,65;6,801949E-06
4,7;6,83713E-06
4,75;6,871796E-06
4,8;6,905709E-06
4,85;6,9388E-06
4,9;6,971569E-06
4,95;7,003252E-06
5;7,034344E-06
