Frequencia	Intensidade
7.11363E14	490
7.11259E14	763
7.11156E14	715
7.11052E14	526
7.10949E14	468
7.10846E14	356
7.10742E14	495
7.10639E14	465
7.10536E14	889
7.10433E14	658
7.1033E14	566
7.10226E14	442
7.10123E14	337
7.1002E14	487
7.09917E14	978
7.09814E14	764
7.09711E14	533
7.09608E14	580
7.09505E14	491
7.09402E14	306
7.09299E14	553
7.09197E14	939
7.09094E14	651
7.08991E14	446
7.08888E14	334
7.08786E14	432
7.08683E14	529
7.0858E14	783
7.08478E14	664
7.08375E14	526
7.08272E14	533
7.0817E14	306
7.08067E14	501
7.07965E14	705
7.07862E14	572
7.0776E14	543
7.07658E14	434
7.07555E14	411
7.07453E14	365
7.07351E14	541
7.07248E14	910
7.07146E14	751
7.07044E14	542
7.06942E14	536
7.0684E14	334
7.06737E14	443
7.06635E14	768
7.06533E14	797
7.06431E14	588
7.06329E14	543
7.06227E14	590
7.06125E14	389
7.06023E14	425
7.05922E14	799
7.0582E14	670
7.05718E14	781
7.05616E14	547
7.05514E14	339
7.05413E14	435
7.05311E14	856
7.05209E14	720
7.05107E14	531
7.05006E14	479
7.04904E14	357
7.04803E14	646
7.04701E14	858
7.046E14	543
7.04498E14	899
7.04397E14	563
7.04295E14	446
7.04194E14	501
7.04093E14	579
7.03991E14	782
7.0389E14	561
7.03789E14	463
7.03687E14	529
7.03586E14	330
7.03485E14	408
7.03384E14	902
7.03283E14	780
7.03182E14	681
7.03081E14	557
7.0298E14	395
7.02878E14	747
7.02778E14	456
7.02677E14	869
7.02576E14	660
7.02475E14	453
7.02374E14	434
7.02273E14	401
7.02172E14	491
7.02071E14	936
7.01971E14	551
7.0187E14	441
7.01769E14	555
7.01669E14	254
7.01568E14	425
7.01467E14	788
7.01367E14	568
7.01266E14	497
7.01166E14	512
7.01065E14	456
7.00965E14	414
7.00864E14	502
7.00764E14	833
7.00664E14	654
7.00563E14	477
7.00463E14	464
7.00363E14	368
7.00262E14	467
7.00162E14	864
7.00062E14	711
6.99962E14	514
6.99862E14	590
6.99761E14	402
6.99661E14	385
6.99561E14	629
6.99461E14	734
6.99361E14	555
6.99261E14	449
6.99161E14	380
6.99061E14	326
6.98962E14	644
6.98862E14	814
6.98762E14	725
6.98662E14	664
6.98562E14	721
6.98463E14	309
6.98363E14	485
6.98263E14	732
6.98163E14	840
6.98064E14	590
6.97964E14	545
6.97865E14	405
6.97765E14	444
6.97666E14	485
6.97566E14	1022
6.97467E14	660
6.97367E14	570
6.97268E14	454
6.97168E14	480
6.97069E14	576
6.9697E14	885
6.9687E14	681
6.96771E14	565
6.96672E14	413
6.96573E14	646
6.96474E14	558
6.96374E14	462
6.96275E14	788
6.96176E14	630
6.96077E14	411
6.95978E14	508
6.95879E14	439
6.9578E14	635
6.95681E14	714
6.95582E14	556
6.95483E14	584
6.95384E14	562
6.95286E14	365
6.95187E14	405
6.95088E14	810
6.94989E14	598
6.9489E14	600
6.94792E14	403
6.94693E14	430
6.94594E14	609
6.94496E14	558
6.94397E14	888
6.94299E14	644
6.942E14	649
6.94102E14	605
6.94003E14	387
6.93905E14	454
6.93806E14	770
6.93708E14	594
6.9361E14	632
6.93511E14	646
6.93413E14	494
6.93315E14	414
6.93216E14	463
6.93118E14	772
6.9302E14	1104
6.92922E14	629
6.92824E14	538
6.92726E14	306
6.92627E14	521
6.92529E14	898
6.92431E14	640
6.92333E14	519
6.92235E14	557
6.92137E14	313
6.92039E14	464
6.91942E14	811
6.91844E14	551
6.91746E14	741
6.91648E14	565
6.9155E14	344
6.91453E14	419
6.91355E14	484
6.91257E14	877
6.91159E14	881
6.91062E14	577
6.90964E14	506
6.90867E14	475
6.90769E14	858
6.90672E14	1169
6.90574E14	661
6.90477E14	565
6.90379E14	632
6.90282E14	424
6.90184E14	567
6.90087E14	569
6.8999E14	868
6.89892E14	768
6.89795E14	421
6.89698E14	387
6.896E14	400
6.89503E14	537
6.89406E14	811
6.89309E14	658
6.89212E14	511
6.89115E14	624
6.89018E14	498
6.88921E14	583
6.88824E14	919
6.88727E14	717
6.8863E14	553
6.88533E14	594
6.88436E14	540
6.88339E14	514
6.88242E14	592
6.88145E14	869
6.88048E14	629
6.87952E14	733
6.87855E14	701
6.87758E14	520
6.87662E14	683
6.87565E14	845
6.87468E14	660
6.87372E14	606
6.87275E14	495
6.87179E14	536
6.87082E14	381
6.86986E14	507
6.86889E14	788
6.86793E14	530
6.86696E14	629
6.866E14	491
6.86503E14	307
6.86407E14	557
6.86311E14	897
6.86215E14	803
6.86118E14	704
6.86022E14	519
6.85926E14	405
6.8583E14	526
6.85734E14	1000
6.85637E14	904
6.85541E14	713
6.85445E14	624
6.85349E14	565
6.85253E14	438
6.85157E14	529
6.85061E14	868
6.84965E14	715
6.84869E14	763
6.84774E14	533
6.84678E14	535
6.84582E14	493
6.84486E14	843
6.8439E14	773
6.84295E14	468
6.84199E14	568
6.84103E14	537
6.84008E14	299
6.83912E14	702
6.83816E14	1056
6.83721E14	968
6.83625E14	657
6.8353E14	471
6.83434E14	427
6.83339E14	566
6.83243E14	794
6.83148E14	673
6.83052E14	608
6.82957E14	662
6.82862E14	298
6.82766E14	536
6.82671E14	945
6.82576E14	707
6.82481E14	585
6.82385E14	584
6.8229E14	513
6.82195E14	486
6.821E14	416
6.82005E14	826
6.8191E14	706
6.81815E14	543
6.8172E14	472
6.81625E14	355
6.8153E14	642
6.81435E14	921
6.8134E14	750
6.81245E14	711
6.8115E14	645
6.81055E14	505
6.8096E14	502
6.80866E14	484
6.80771E14	912
6.80676E14	817
6.80581E14	582
6.80487E14	545
6.80392E14	406
6.80298E14	663
6.80203E14	972
6.80108E14	639
6.80014E14	808
6.79919E14	721
6.79825E14	525
6.7973E14	460
6.79636E14	1232
6.79541E14	870
6.79447E14	614
6.79353E14	544
6.79258E14	562
6.79164E14	461
6.7907E14	623
6.78976E14	805
6.78881E14	698
6.78787E14	591
6.78693E14	698
6.78599E14	428
6.78505E14	652
6.78411E14	875
6.78316E14	789
6.78222E14	628
6.78128E14	515
6.78034E14	495
6.7794E14	462
6.77846E14	490
6.77753E14	839
6.77659E14	656
6.77565E14	552
6.77471E14	566
6.77377E14	485
6.77283E14	749
