Frequencia	Intensidade
4.71392E14	1244
4.70652E14	1400
4.69915E14	1277
4.69179E14	1390
4.68446E14	1057
4.67716E14	1359
4.66987E14	1186
4.66261E14	1325
4.65537E14	1058
4.64815E14	1240
4.64096E14	1342
4.63379E14	1092
4.62664E14	995
4.61951E14	1044
4.6124E14	992
4.60532E14	1115
4.59826E14	873
4.59121E14	926
4.5842E14	1051
4.5772E14	1060
4.57022E14	963
4.56327E14	1159
4.55633E14	889
4.54942E14	1346
4.54253E14	1043
4.53565E14	1123
4.5288E14	907
4.52197E14	1216
4.51516E14	1065
4.50837E14	1020
4.50161E14	1028
4.49486E14	1256
4.48813E14	1033
4.48142E14	1206
4.47473E14	1084
4.46807E14	1172
4.46142E14	1071
4.45479E14	1151
4.44818E14	988
4.44159E14	1373
4.43502E14	1083
4.42847E14	1107
4.42194E14	912
4.41543E14	1114
4.40894E14	973
4.40246E14	1224
4.39601E14	908
4.38957E14	1192
4.38316E14	1071
4.37676E14	1242
4.37038E14	1069
4.36402E14	1086
4.35768E14	1027
4.35135E14	1227
4.34505E14	1087
4.33876E14	1311
4.33249E14	992
4.32624E14	1180
4.32E14	1222
4.31379E14	1136
4.30759E14	1155
4.30141E14	1352
4.29525E14	1093
4.28911E14	1294
4.28298E14	1250
4.27687E14	1061
4.27078E14	1186
4.2647E14	1215
4.25865E14	939
4.25261E14	1071
4.24658E14	1252
4.24058E14	1375
4.23459E14	882
4.22862E14	1346
4.22266E14	1187
4.21672E14	1463
4.2108E14	1302
4.2049E14	1363
4.19901E14	1249
4.19314E14	1518
4.18728E14	1116
4.18144E14	1362
4.17562E14	1396
4.16981E14	1372
4.16402E14	1332
4.15825E14	1487
4.15249E14	1219
4.14674E14	1388
4.14102E14	1119
4.13531E14	1650
4.12961E14	1203
4.12393E14	1483
4.11827E14	1488
4.11262E14	1623
4.10699E14	1313
4.10137E14	1601
4.09576E14	1827
4.09018E14	1670
4.08461E14	1141
4.07905E14	1519
4.07351E14	1295
4.06798E14	1349
4.06247E14	1390
4.05697E14	1498
4.05149E14	1306
4.04602E14	1472
4.04057E14	1379
4.03513E14	1814
4.02971E14	1339
4.0243E14	1124
4.01891E14	1056
4.01353E14	1450
4.00816E14	1068
4.00281E14	1188
