Frequencia	Intensidade
7.11363E14	553
7.11259E14	770
7.11156E14	780
7.11052E14	653
7.10949E14	594
7.10846E14	550
7.10742E14	509
7.10639E14	665
7.10536E14	869
7.10433E14	803
7.1033E14	605
7.10226E14	492
7.10123E14	498
7.1002E14	650
7.09917E14	923
7.09814E14	836
7.09711E14	693
7.09608E14	686
7.09505E14	594
7.09402E14	503
7.09299E14	700
7.09197E14	881
7.09094E14	775
7.08991E14	598
7.08888E14	537
7.08786E14	578
7.08683E14	682
7.0858E14	745
7.08478E14	751
7.08375E14	698
7.08272E14	698
7.0817E14	510
7.08067E14	657
7.07965E14	925
7.07862E14	724
7.0776E14	587
7.07658E14	607
7.07555E14	594
7.07453E14	539
7.07351E14	748
7.07248E14	940
7.07146E14	748
7.07044E14	769
7.06942E14	650
7.0684E14	644
7.06737E14	589
7.06635E14	885
7.06533E14	879
7.06431E14	693
7.06329E14	663
7.06227E14	698
7.06125E14	590
7.06023E14	563
7.05922E14	880
7.0582E14	856
7.05718E14	892
7.05616E14	611
7.05514E14	531
7.05413E14	613
7.05311E14	944
7.05209E14	839
7.05107E14	758
7.05006E14	612
7.04904E14	508
7.04803E14	778
7.04701E14	926
7.046E14	836
7.04498E14	1060
7.04397E14	730
7.04295E14	665
7.04194E14	694
7.04093E14	826
7.03991E14	974
7.0389E14	702
7.03789E14	787
7.03687E14	773
7.03586E14	695
7.03485E14	662
7.03384E14	1174
7.03283E14	863
7.03182E14	860
7.03081E14	877
7.0298E14	628
7.02878E14	805
7.02778E14	780
7.02677E14	998
7.02576E14	805
7.02475E14	733
7.02374E14	641
7.02273E14	604
7.02172E14	766
7.02071E14	974
7.01971E14	834
7.0187E14	787
7.01769E14	766
7.01669E14	581
7.01568E14	819
7.01467E14	1010
7.01367E14	852
7.01266E14	792
7.01166E14	851
7.01065E14	746
7.00965E14	605
7.00864E14	741
7.00764E14	1024
7.00664E14	978
7.00563E14	827
7.00463E14	749
7.00363E14	598
7.00262E14	794
7.00162E14	973
7.00062E14	868
6.99962E14	827
6.99862E14	899
6.99761E14	814
6.99661E14	764
6.99561E14	933
6.99461E14	985
6.99361E14	868
6.99261E14	727
6.99161E14	757
6.99061E14	761
6.98962E14	880
6.98862E14	1062
6.98762E14	896
6.98662E14	972
6.98562E14	897
6.98463E14	699
6.98363E14	888
6.98263E14	1060
6.98163E14	1028
6.98064E14	959
6.97964E14	933
6.97865E14	814
6.97765E14	779
6.97666E14	810
6.97566E14	1204
6.97467E14	1064
6.97367E14	869
6.97268E14	836
6.97168E14	770
6.97069E14	975
6.9697E14	1143
6.9687E14	1108
6.96771E14	968
6.96672E14	933
6.96573E14	1145
6.96474E14	917
6.96374E14	905
6.96275E14	1145
6.96176E14	977
6.96077E14	949
6.95978E14	944
6.95879E14	906
6.9578E14	1057
6.95681E14	1065
6.95582E14	1054
6.95483E14	1093
6.95384E14	1001
6.95286E14	841
6.95187E14	1003
6.95088E14	1239
6.94989E14	1074
6.9489E14	1061
6.94792E14	1050
6.94693E14	932
6.94594E14	1053
6.94496E14	1071
6.94397E14	1370
6.94299E14	1240
6.942E14	1125
6.94102E14	1144
6.94003E14	971
6.93905E14	1044
6.93806E14	1214
6.93708E14	1218
6.9361E14	1119
6.93511E14	1259
6.93413E14	1045
6.93315E14	1079
6.93216E14	1068
6.93118E14	1396
6.9302E14	1532
6.92922E14	1306
6.92824E14	1190
6.92726E14	1048
6.92627E14	1152
6.92529E14	1514
6.92431E14	1276
6.92333E14	1185
6.92235E14	1265
6.92137E14	1001
6.92039E14	1222
6.91942E14	1432
6.91844E14	1304
6.91746E14	1371
6.91648E14	1353
6.9155E14	1144
6.91453E14	1118
6.91355E14	1254
6.91257E14	1553
6.91159E14	1475
6.91062E14	1328
6.90964E14	1382
6.90867E14	1352
6.90769E14	1492
6.90672E14	1702
6.90574E14	1469
6.90477E14	1416
6.90379E14	1405
6.90282E14	1298
6.90184E14	1217
6.90087E14	1525
6.8999E14	1731
6.89892E14	1508
6.89795E14	1366
6.89698E14	1344
6.896E14	1261
6.89503E14	1351
6.89406E14	1604
6.89309E14	1619
6.89212E14	1530
6.89115E14	1620
6.89018E14	1518
6.88921E14	1586
6.88824E14	1718
6.88727E14	1669
6.8863E14	1617
6.88533E14	1677
6.88436E14	1524
6.88339E14	1570
6.88242E14	1679
6.88145E14	1859
6.88048E14	1799
6.87952E14	1819
6.87855E14	1786
6.87758E14	1655
6.87662E14	1729
6.87565E14	1920
6.87468E14	1826
6.87372E14	1729
6.87275E14	1758
6.87179E14	1799
6.87082E14	1719
6.86986E14	1712
6.86889E14	1944
6.86793E14	1947
6.86696E14	1866
6.866E14	1617
6.86503E14	1657
6.86407E14	1893
6.86311E14	2126
6.86215E14	2056
6.86118E14	2129
6.86022E14	1899
6.85926E14	1835
6.8583E14	2033
6.85734E14	2349
6.85637E14	2136
6.85541E14	2093
6.85445E14	2100
6.85349E14	1998
6.85253E14	1967
6.85157E14	2022
6.85061E14	2268
6.84965E14	2209
6.84869E14	2255
6.84774E14	2071
6.84678E14	2015
6.84582E14	2105
6.84486E14	2460
6.8439E14	2481
6.84295E14	2228
6.84199E14	2255
6.84103E14	2352
6.84008E14	2198
6.83912E14	2497
6.83816E14	2806
6.83721E14	2816
6.83625E14	2501
6.8353E14	2402
6.83434E14	2351
6.83339E14	2486
6.83243E14	2717
