Frequencia	Intensidade
7.11363E14	243
7.11259E14	432
7.11156E14	386
7.11052E14	284
7.10949E14	251
7.10846E14	201
7.10742E14	202
7.10639E14	268
7.10536E14	559
7.10433E14	296
7.1033E14	322
7.10226E14	293
7.10123E14	196
7.1002E14	301
7.09917E14	468
7.09814E14	413
7.09711E14	320
7.09608E14	267
7.09505E14	245
7.09402E14	180
7.09299E14	360
7.09197E14	702
7.09094E14	366
7.08991E14	284
7.08888E14	254
7.08786E14	222
7.08683E14	277
7.0858E14	397
7.08478E14	290
7.08375E14	318
7.08272E14	315
7.0817E14	168
7.08067E14	211
7.07965E14	347
7.07862E14	340
7.0776E14	280
7.07658E14	216
7.07555E14	228
7.07453E14	318
7.07351E14	318
7.07248E14	524
7.07146E14	431
7.07044E14	281
7.06942E14	278
7.0684E14	189
7.06737E14	222
7.06635E14	472
7.06533E14	403
7.06431E14	325
7.06329E14	253
7.06227E14	287
7.06125E14	201
7.06023E14	211
7.05922E14	461
7.0582E14	404
7.05718E14	477
7.05616E14	266
7.05514E14	223
7.05413E14	249
7.05311E14	524
7.05209E14	416
7.05107E14	313
7.05006E14	207
7.04904E14	178
7.04803E14	356
7.04701E14	469
7.046E14	455
7.04498E14	564
7.04397E14	337
7.04295E14	288
7.04194E14	255
7.04093E14	308
7.03991E14	538
7.0389E14	330
7.03789E14	273
7.03687E14	282
7.03586E14	252
7.03485E14	214
7.03384E14	543
7.03283E14	459
7.03182E14	388
7.03081E14	348
7.0298E14	237
7.02878E14	319
7.02778E14	266
7.02677E14	524
7.02576E14	325
7.02475E14	332
7.02374E14	204
7.02273E14	214
7.02172E14	248
7.02071E14	498
7.01971E14	377
7.0187E14	287
7.01769E14	256
7.01669E14	197
7.01568E14	272
7.01467E14	522
7.01367E14	363
7.01266E14	303
7.01166E14	331
7.01065E14	262
7.00965E14	212
7.00864E14	336
7.00764E14	544
7.00664E14	382
7.00563E14	265
7.00463E14	224
7.00363E14	221
7.00262E14	253
7.00162E14	384
7.00062E14	391
6.99962E14	287
6.99862E14	321
6.99761E14	290
6.99661E14	223
6.99561E14	378
6.99461E14	379
6.99361E14	309
6.99261E14	254
6.99161E14	245
6.99061E14	154
6.98962E14	326
6.98862E14	509
6.98762E14	438
6.98662E14	359
6.98562E14	322
6.98463E14	210
6.98363E14	331
6.98263E14	409
6.98163E14	435
6.98064E14	287
6.97964E14	311
6.97865E14	265
6.97765E14	243
6.97666E14	272
6.97566E14	507
6.97467E14	324
6.97367E14	273
6.97268E14	238
6.97168E14	200
6.97069E14	314
6.9697E14	588
6.9687E14	401
6.96771E14	360
6.96672E14	230
6.96573E14	363
6.96474E14	250
6.96374E14	246
6.96275E14	413
6.96176E14	350
6.96077E14	263
6.95978E14	255
6.95879E14	285
6.9578E14	308
6.95681E14	483
6.95582E14	331
6.95483E14	352
6.95384E14	284
6.95286E14	178
6.95187E14	237
6.95088E14	458
6.94989E14	345
6.9489E14	328
6.94792E14	271
6.94693E14	224
6.94594E14	313
6.94496E14	266
6.94397E14	584
6.94299E14	354
6.942E14	306
6.94102E14	343
6.94003E14	175
6.93905E14	224
6.93806E14	452
6.93708E14	357
6.9361E14	306
6.93511E14	335
6.93413E14	226
6.93315E14	251
6.93216E14	258
6.93118E14	506
6.9302E14	566
6.92922E14	351
6.92824E14	272
6.92726E14	162
6.92627E14	264
6.92529E14	532
6.92431E14	364
6.92333E14	303
6.92235E14	364
6.92137E14	145
6.92039E14	291
6.91942E14	418
6.91844E14	424
6.91746E14	417
6.91648E14	324
6.9155E14	199
6.91453E14	237
6.91355E14	269
6.91257E14	500
6.91159E14	424
6.91062E14	319
6.90964E14	265
6.90867E14	216
6.90769E14	379
6.90672E14	556
6.90574E14	353
6.90477E14	287
6.90379E14	365
6.90282E14	220
6.90184E14	178
6.90087E14	338
6.8999E14	500
6.89892E14	365
6.89795E14	309
6.89698E14	233
6.896E14	192
6.89503E14	277
6.89406E14	507
6.89309E14	390
6.89212E14	319
6.89115E14	371
6.89018E14	259
6.88921E14	351
6.88824E14	488
6.88727E14	400
6.8863E14	291
6.88533E14	340
6.88436E14	290
6.88339E14	235
6.88242E14	348
6.88145E14	525
6.88048E14	346
6.87952E14	452
6.87855E14	478
6.87758E14	259
6.87662E14	383
6.87565E14	493
6.87468E14	404
6.87372E14	364
6.87275E14	339
6.87179E14	325
6.87082E14	201
6.86986E14	291
6.86889E14	526
6.86793E14	419
6.86696E14	389
6.866E14	270
6.86503E14	193
6.86407E14	326
6.86311E14	491
6.86215E14	448
6.86118E14	431
6.86022E14	312
6.85926E14	269
6.8583E14	252
6.85734E14	540
6.85637E14	385
6.85541E14	380
6.85445E14	407
6.85349E14	289
6.85253E14	213
6.85157E14	276
6.85061E14	516
6.84965E14	422
6.84869E14	452
6.84774E14	273
6.84678E14	189
6.84582E14	276
6.84486E14	600
6.8439E14	451
6.84295E14	278
6.84199E14	316
6.84103E14	301
6.84008E14	203
6.83912E14	403
6.83816E14	468
6.83721E14	576
6.83625E14	367
6.8353E14	304
6.83434E14	214
6.83339E14	399
6.83243E14	471
6.83148E14	365
6.83052E14	315
6.82957E14	327
6.82862E14	123
6.82766E14	330
6.82671E14	508
6.82576E14	358
6.82481E14	362
6.82385E14	367
6.8229E14	317
6.82195E14	212
6.821E14	334
6.82005E14	497
6.8191E14	471
6.81815E14	315
6.8172E14	342
6.81625E14	219
6.8153E14	348
6.81435E14	556
6.8134E14	446
6.81245E14	340
6.8115E14	417
6.81055E14	292
6.8096E14	260
6.80866E14	229
6.80771E14	454
6.80676E14	470
6.80581E14	425
6.80487E14	305
6.80392E14	237
6.80298E14	374
6.80203E14	588
6.80108E14	380
6.80014E14	401
6.79919E14	412
6.79825E14	280
6.7973E14	292
6.79636E14	669
6.79541E14	488
6.79447E14	334
6.79353E14	293
6.79258E14	316
6.79164E14	310
6.7907E14	375
6.78976E14	472
6.78881E14	386
6.78787E14	409
6.78693E14	309
6.78599E14	192
6.78505E14	335
6.78411E14	456
6.78316E14	388
6.78222E14	305
6.78128E14	338
6.78034E14	295
6.7794E14	223
6.77846E14	339
6.77753E14	476
6.77659E14	423
6.77565E14	275
6.77471E14	310
6.77377E14	296
6.77283E14	451
6.7719E14	450
6.77096E14	332
6.77002E14	305
6.76908E14	319
6.76815E14	230
6.76721E14	485
6.76628E14	538
6.76534E14	446
6.7644E14	439
6.76347E14	372
6.76253E14	272
6.7616E14	274
6.76066E14	329
6.75973E14	514
6.7588E14	448
6.75786E14	335
6.75693E14	262
6.756E14	219
6.75506E14	258
6.75413E14	538
6.7532E14	521
6.75227E14	449
6.75133E14	338
6.7504E14	264
6.74947E14	200
6.74854E14	282
6.74761E14	438
6.74668E14	426
6.74575E14	287
6.74482E14	303
6.74389E14	284
6.74296E14	281
6.74203E14	554
6.7411E14	511
6.74017E14	384
6.73924E14	286
6.73831E14	152
6.73738E14	306
6.73646E14	419
6.73553E14	360
6.7346E14	361
6.73367E14	385
6.73275E14	359
6.73182E14	360
6.7309E14	250
6.72997E14	491
6.72904E14	525
6.72812E14	309
6.72719E14	288
6.72627E14	258
6.72534E14	282
6.72442E14	518
6.72349E14	414
6.72257E14	413
6.72165E14	336
6.72072E14	246
6.7198E14	248
6.71888E14	322
6.71795E14	410
6.71703E14	370
6.71611E14	398
6.71519E14	352
6.71427E14	291
6.71334E14	412
6.71242E14	686
6.7115E14	463
6.71058E14	332
6.70966E14	333
6.70874E14	222
6.70782E14	394
6.7069E14	607
6.70598E14	438
6.70506E14	404
6.70414E14	349
6.70322E14	325
6.70231E14	406
6.70139E14	361
6.70047E14	559
6.69955E14	285
6.69863E14	367
6.69772E14	300
6.6968E14	299
6.69588E14	319
6.69497E14	553
6.69405E14	460
6.69313E14	302
6.69222E14	391
6.6913E14	353
6.69039E14	307
6.68947E14	341
6.68856E14	466
6.68764E14	360
6.68673E14	293
6.68582E14	310
6.6849E14	292
6.68399E14	401
6.68308E14	469
6.68216E14	448
6.68125E14	304
6.68034E14	364
6.67943E14	246
6.67851E14	358
6.6776E14	569
6.67669E14	466
6.67578E14	290
6.67487E14	338
6.67396E14	307
6.67305E14	258
6.67214E14	330
6.67123E14	552
6.67032E14	412
6.66941E14	352
6.6685E14	374
6.66759E14	239
6.66668E14	355
6.66577E14	650
6.66486E14	428
6.66396E14	420
6.66305E14	366
6.66214E14	257
6.66123E14	224
6.66033E14	398
6.65942E14	629
6.65851E14	483
6.65761E14	326
6.6567E14	324
6.6558E14	269
6.65489E14	308
6.65398E14	636
6.65308E14	466
6.65217E14	341
6.65127E14	397
6.65037E14	181
6.64946E14	458
6.64856E14	537
6.64765E14	377
6.64675E14	345
6.64585E14	381
6.64495E14	333
6.64404E14	201
6.64314E14	315
6.64224E14	519
6.64134E14	504
6.64044E14	360
6.63953E14	345
6.63863E14	444
6.63773E14	353
6.63683E14	501
6.63593E14	530
6.63503E14	375
6.63413E14	369
6.63323E14	382
6.63233E14	301
6.63143E14	396
6.63053E14	581
6.62964E14	483
6.62874E14	355
6.62784E14	312
6.62694E14	256
6.62604E14	358
6.62515E14	549
6.62425E14	476
6.62335E14	457
6.62246E14	397
6.62156E14	283
6.62066E14	452
6.61977E14	574
6.61887E14	421
6.61798E14	364
6.61708E14	336
6.61618E14	405
6.61529E14	368
6.6144E14	371
6.6135E14	615
6.61261E14	578
6.61171E14	342
6.61082E14	311
6.60993E14	209
6.60903E14	382
6.60814E14	468
6.60725E14	334
6.60636E14	374
6.60546E14	399
6.60457E14	273
6.60368E14	277
6.60279E14	320
6.6019E14	516
6.60101E14	384
6.60012E14	317
6.59923E14	393
6.59834E14	240
6.59745E14	363
6.59656E14	658
6.59567E14	474
6.59478E14	418
6.59389E14	331
6.593E14	199
6.59211E14	405
6.59122E14	494
6.59033E14	433
6.58945E14	356
6.58856E14	370
6.58767E14	310
6.58678E14	285
6.5859E14	335
6.58501E14	587
6.58413E14	402
6.58324E14	318
6.58235E14	409
6.58147E14	358
6.58058E14	390
6.5797E14	317
6.57881E14	253
6.57793E14	271
6.57704E14	346
6.57616E14	389
6.57527E14	295
6.57439E14	417
6.57351E14	489
6.57262E14	319
6.57174E14	410
6.57086E14	325
6.56998E14	283
6.56909E14	406
6.56821E14	530
6.56733E14	372
6.56645E14	416
6.56557E14	296
6.56469E14	220
6.5638E14	267
6.56292E14	595
6.56204E14	480
6.56116E14	489
6.56028E14	401
6.5594E14	403
6.55852E14	333
6.55765E14	366
6.55677E14	459
6.55589E14	457
6.55501E14	350
6.55413E14	354
6.55325E14	279
6.55237E14	329
6.5515E14	618
6.55062E14	584
6.54974E14	395
6.54887E14	381
6.54799E14	335
6.54711E14	362
6.54624E14	355
6.54536E14	454
6.54448E14	501
6.54361E14	507
6.54273E14	320
6.54186E14	225
6.54098E14	256
6.54011E14	507
6.53924E14	427
6.53836E14	426
6.53749E14	406
6.53661E14	238
6.53574E14	316
6.53487E14	575
6.53399E14	493
6.53312E14	436
6.53225E14	438
6.53138E14	359
6.53051E14	416
6.52963E14	346
6.52876E14	520
6.52789E14	410
6.52702E14	363
6.52615E14	367
6.52528E14	287
6.52441E14	317
6.52354E14	534
6.52267E14	487
6.5218E14	335
6.52093E14	559
6.52006E14	360
6.51919E14	214
6.51832E14	269
6.51745E14	591
6.51659E14	505
6.51572E14	342
6.51485E14	374
6.51398E14	287
6.51311E14	295
6.51225E14	476
6.51138E14	480
6.51051E14	329
6.50965E14	469
6.50878E14	364
6.50792E14	452
6.50705E14	511
6.50618E14	497
6.50532E14	344
6.50445E14	381
6.50359E14	329
6.50272E14	241
6.50186E14	377
6.501E14	552
6.50013E14	500
6.49927E14	381
6.49841E14	298
6.49754E14	300
6.49668E14	347
6.49582E14	497
6.49495E14	467
6.49409E14	508
6.49323E14	405
6.49237E14	326
6.49151E14	289
6.49064E14	449
6.48978E14	543
6.48892E14	586
6.48806E14	395
6.4872E14	308
6.48634E14	312
6.48548E14	356
6.48462E14	599
6.48376E14	613
6.4829E14	524
6.48204E14	463
6.48118E14	437
6.48033E14	388
6.47947E14	477
6.47861E14	361
6.47775E14	381
6.47689E14	264
6.47604E14	324
6.47518E14	296
6.47432E14	400
6.47347E14	578
6.47261E14	473
6.47175E14	487
6.4709E14	340
6.47004E14	300
6.46918E14	275
6.46833E14	526
6.46747E14	395
6.46662E14	378
6.46576E14	505
6.46491E14	329
6.46406E14	337
6.4632E14	322
6.46235E14	642
6.46149E14	475
6.46064E14	438
6.45979E14	320
6.45893E14	227
6.45808E14	495
6.45723E14	602
6.45638E14	518
6.45552E14	452
6.45467E14	423
6.45382E14	363
6.45297E14	408
6.45212E14	573
6.45127E14	628
6.45042E14	385
6.44957E14	273
6.44872E14	331
6.44787E14	286
6.44702E14	411
6.44617E14	563
6.44532E14	390
6.44447E14	357
6.44362E14	269
6.44277E14	328
6.44192E14	355
6.44107E14	606
6.44023E14	379
6.43938E14	452
6.43853E14	371
6.43768E14	358
6.43684E14	313
6.43599E14	386
6.43514E14	521
6.4343E14	424
6.43345E14	434
6.4326E14	387
6.43176E14	308
6.43091E14	383
6.43007E14	576
6.42922E14	422
6.42838E14	356
6.42753E14	382
6.42669E14	235
6.42584E14	285
6.425E14	600
6.42416E14	591
6.42331E14	456
6.42247E14	396
6.42163E14	330
6.42078E14	260
6.41994E14	376
6.4191E14	563
6.41826E14	467
6.41741E14	414
6.41657E14	332
6.41573E14	334
6.41489E14	425
6.41405E14	596
6.41321E14	454
6.41237E14	482
6.41153E14	482
6.41068E14	404
6.40984E14	375
6.409E14	307
6.40817E14	521
6.40733E14	595
6.40649E14	415
6.40565E14	327
6.40481E14	259
6.40397E14	383
6.40313E14	590
6.40229E14	455
6.40146E14	473
6.40062E14	385
6.39978E14	236
6.39894E14	358
6.39811E14	599
6.39727E14	456
6.39643E14	342
6.3956E14	366
6.39476E14	326
6.39393E14	382
6.39309E14	415
6.39225E14	578
6.39142E14	560
6.39058E14	448
6.38975E14	301
6.38891E14	311
6.38808E14	327
6.38725E14	475
6.38641E14	451
6.38558E14	416
6.38475E14	453
6.38391E14	400
6.38308E14	271
6.38225E14	319
6.38141E14	552
6.38058E14	478
6.37975E14	414
6.37892E14	317
6.37809E14	188
6.37725E14	331
6.37642E14	651
6.37559E14	509
6.37476E14	382
6.37393E14	294
6.3731E14	239
6.37227E14	351
6.37144E14	551
6.37061E14	484
6.36978E14	383
6.36895E14	345
6.36812E14	486
6.36729E14	321
6.36646E14	396
6.36564E14	605
6.36481E14	440
6.36398E14	372
6.36315E14	351
6.36232E14	249
6.3615E14	341
6.36067E14	462
6.35984E14	393
6.35901E14	365
6.35819E14	433
6.35736E14	326
6.35654E14	323
6.35571E14	332
6.35488E14	473
6.35406E14	475
6.35323E14	339
6.35241E14	367
6.35158E14	276
6.35076E14	482
6.34993E14	676
6.34911E14	490
6.34829E14	364
6.34746E14	279
6.34664E14	270
6.34582E14	355
6.34499E14	567
6.34417E14	455
6.34335E14	442
6.34252E14	481
6.3417E14	308
6.34088E14	315
6.34006E14	458
6.33924E14	728
6.33842E14	616
6.33759E14	460
6.33677E14	414
6.33595E14	367
6.33513E14	315
6.33431E14	580
6.33349E14	476
6.33267E14	425
6.33185E14	353
6.33103E14	307
6.33021E14	308
6.32939E14	683
6.32857E14	714
6.32776E14	478
6.32694E14	311
6.32612E14	334
6.3253E14	367
6.32448E14	405
6.32367E14	615
6.32285E14	487
6.32203E14	518
6.32121E14	481
6.3204E14	285
6.31958E14	337
6.31876E14	519
6.31795E14	454
6.31713E14	355
6.31632E14	411
6.3155E14	339
6.31469E14	400
6.31387E14	451
6.31306E14	479
6.31224E14	416
6.31143E14	394
6.31061E14	401
6.3098E14	424
6.30898E14	370
6.30817E14	847
6.30736E14	583
6.30654E14	457
6.30573E14	426
6.30492E14	442
6.30411E14	334
6.30329E14	372
6.30248E14	536
6.30167E14	426
6.30086E14	492
6.30005E14	354
6.29924E14	292
6.29842E14	354
6.29761E14	558
6.2968E14	490
6.29599E14	370
6.29518E14	378
6.29437E14	212
6.29356E14	368
6.29275E14	542
6.29194E14	506
6.29113E14	413
6.29032E14	398
6.28952E14	363
6.28871E14	325
6.2879E14	337
6.28709E14	550
6.28628E14	316
6.28548E14	318
6.28467E14	350
6.28386E14	342
6.28305E14	318
6.28225E14	461
6.28144E14	314
6.28063E14	269
6.27983E14	276
6.27902E14	314
6.27821E14	360
6.27741E14	483
6.2766E14	433
6.2758E14	358
6.27499E14	233
6.27419E14	338
6.27338E14	428
6.27258E14	346
6.27177E14	370
6.27097E14	414
6.27017E14	386
6.26936E14	283
6.26856E14	250
6.26776E14	398
6.26695E14	442
6.26615E14	376
6.26535E14	312
6.26455E14	292
6.26374E14	290
6.26294E14	419
6.26214E14	330
6.26134E14	475
6.26054E14	366
6.25974E14	284
6.25893E14	318
6.25813E14	400
6.25733E14	322
6.25653E14	374
6.25573E14	414
6.25493E14	352
6.25413E14	274
6.25333E14	339
6.25253E14	438
6.25174E14	396
6.25094E14	403
6.25014E14	332
6.24934E14	275
6.24854E14	365
6.24774E14	444
6.24695E14	368
6.24615E14	396
6.24535E14	354
6.24455E14	246
6.24376E14	161
6.24296E14	243
6.24216E14	448
6.24137E14	300
6.24057E14	219
6.23977E14	218
6.23898E14	116
6.23818E14	192
6.23739E14	519
6.23659E14	363
6.2358E14	355
6.235E14	285
6.23421E14	90
6.23341E14	164
6.23262E14	528
6.23182E14	301
6.23103E14	187
6.23024E14	194
6.22944E14	227
6.22865E14	135
6.22786E14	208
6.22706E14	524
6.22627E14	360
